Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temp. [Celsius],RH [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Thoron [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),,Total Live Time,Total Radon in Water (D/L),Mean Radon in Water (DPM/L),Sigma (DPM/L)
424,1/9/2019 14:19,19,1,9,14,19,81,5.5,63,0,32.1,0,2218,8,32.7,6,1,5.97,50,134,39.27004,12.64511,255,58,13,0.51,Sniff,88,0,14.1,0,30.5,1.42,5.13,51,0,26,0,4,9.28,0,4.73,0,0.722,,5.5,77.55,14.1,1.793244325
425,1/9/2019 14:25,19,1,9,14,25,81,5.5,54.3,0,38.3,0,2218,9,32.4,6,1,6,50,134,33.88003,11.87065,255,58,14,0.705,Sniff,76,0,12.2,0,30.1,1.55,5.65,44,0,31,0,6,8,0,5.64,0,1.09,,5.5,67.1,12.2,1.682231348
426,1/9/2019 14:31,19,1,9,14,31,72,5.5,48.6,1.4,48.6,0,2218,8,32.4,6,1,6,50,134,26.95003,10.78001,255,58,15,1,Sniff,60,2,9.7,3,30.1,1.65,6,35,1,35,0,1,6.36,0.183,6.36,0,0.183,,5.5,53.35,9.7,1.522226409
427,1/9/2019 14:37,19,1,9,14,37,58,5.5,32.8,1.7,65.5,0,2218,8,32.1,6,1,5.97,50,134,14.56441,8.389308,255,58,16,2,Sniff,33,2,5.3,2,30.2,1.72,6.25,19,1,38,0,0,3.46,0.179,6.91,0,0,,5.5,29.15,5.3,1.180163921
428,1/9/2019 14:43,19,1,9,14,43,46,5.5,34.8,0,63.1,0,2218,9,31.5,6,1,5.97,50,134,12.26477,7.854212,255,58,17,1.81,Sniff,28,0,4.5,0,30,1.5,5.48,16,0,29,0,1,2.91,0,5.28,0,0.176,,5.5,24.75,4.5,1.104444688
429,1/9/2019 14:49,19,1,9,14,49,44,5.5,29.6,0,70.5,0,2218,9,31.2,6,1,5.97,50,134,9.965122,7.269416,255,58,18,2.38,Sniff,22,0,3.7,0,30,1.55,5.67,13,0,31,0,0,2.37,0,5.64,0,0,,5.5,20.35,3.7,1.021928367
430,1/9/2019 14:55,19,1,9,14,55,50,5.5,26,0,72,0,2218,8,31.2,6,1,6,50,134,9.965122,7.269416,255,58,19,2.77,Sniff,22,0,3.7,0,30,1.67,6.11,13,0,36,0,1,2.36,0,6.55,0,0.182,,5.5,20.35,3.7,1.021928367
431,1/9/2019 15:01,19,1,9,15,1,36,5.5,19.5,0,77.8,2.8,2218,9,30.9,6,1,6,50,134,5.365836,5.869346,255,58,20,3.99,Sniff,11,0,1.8,0,30,1.48,5.38,7,0,28,1,0,1.28,0,5.09,0.183,0,,5.5,9.9,1.8,0.782093601
432,1/9/2019 15:07,19,1,9,15,7,62,5.5,21,3.2,74.2,0,2201,9,30.9,6,1,5.97,50,134,9.965122,7.269416,255,58,21,3.53,Sniff,22,5,3.7,8,30.1,1.89,6.89,13,2,46,0,1,2.37,0.361,8.36,0,0.18,,5.5,20.35,3.7,1.021928367
433,1/9/2019 15:13,19,1,9,15,13,51,5.5,17.7,2,80.4,0,2201,9,30.9,6,1,5.97,50,134,6.898932,6.38117,255,58,22,4.54,Sniff,16,1,2.6,2,30,1.79,6.51,9,1,41,0,0,1.64,0.185,7.46,0,0,,5.5,14.3,2.6,0.893003899
434,1/9/2019 15:19,19,1,9,15,19,48,5.5,27.1,0,64.6,2.1,2218,8,30.6,6,1,5.97,50,134,9.965122,7.269416,255,58,23,2.38,Sniff,21,0,3.5,0,30,1.55,5.67,13,0,31,1,3,2.37,0,5.64,0.183,0.541,,5.5,19.25,3.5,1
435,1/9/2019 15:25,19,1,9,15,25,41,5.5,36.6,4.9,56.1,0,2236,9,30.6,6,1,6,50,134,11.49822,7.665479,255,58,24,1.53,Sniff,26,6,4.3,10,30,1.34,4.88,15,2,23,0,1,2.73,0.365,4.18,0,0.179,,5.5,23.65,4.3,1.084523025
436,1/9/2019 15:31,19,1,9,15,31,53,5.5,28.3,0,67.9,0,2218,8,30.6,6,1,6,50,134,11.49822,7.665479,255,58,25,2.4,Sniff,26,0,4.3,0,30,1.67,6.11,15,0,36,0,2,2.73,0,6.54,0,0.366,,5.5,23.65,4.3,1.084523025
437,1/9/2019 15:37,19,1,9,15,37,46,5.5,30.4,2.2,65.2,0,2218,9,30.3,6,1,5.97,50,134,10.73167,7.47075,255,58,26,2.14,Sniff,24,2,4,3,30,1.53,5.57,14,1,30,0,1,2.54,0.184,5.45,0,0.184,,5.5,22,4,1.05378755
438,1/9/2019 15:43,19,1,9,15,43,41,5.5,41.5,2.5,53.7,0,2218,9,30.3,6,1,5.97,50,134,13.03131,8.037468,255,58,27,1.29,Sniff,29,2,4.8,4,30,1.31,4.77,17,1,22,0,1,3.09,0.186,4,0,0.171,,5.5,26.4,4.8,1.133545624
439,1/9/2019 15:49,19,1,9,15,49,35,5.5,31.4,2.9,62.9,0,2201,9,30,5,1,5.97,50,134,8.432026,6.843896,255,58,28,2,Sniff,19,2,3.1,4,30,1.31,4.77,11,1,22,0,1,2,0.185,4,0,0.178,,5.5,17.05,3.1,0.954278029
440,1/9/2019 15:55,19,1,9,15,55,32,5.6,34.4,0,65.6,0,2218,9,30,5,1,5.94,50,134,8.394384,6.813343,255,58,29,1.91,Sniff,19,0,3.1,0,29,1.26,4.69,11,0,21,0,0,1.97,0,3.75,0,0,,5.6,17.36,3.1,0.943724474
441,1/9/2019 16:01,19,1,9,16,1,38,5.5,34.2,2.6,60.5,0,2218,9,29.7,6,1,5.97,50,134,9.965122,7.269416,255,58,30,1.77,Sniff,22,2,3.7,4,29.7,1.34,4.91,13,1,23,0,1,2.36,0.18,4.18,0,0.187,,5.5,20.35,3.7,1.021928367
442,1/9/2019 16:07,19,1,9,16,7,31,5.6,32.3,0,67.8,0,2218,8,29.7,6,1,5.94,50,134,7.631258,6.588257,255,58,31,2.1,Sniff,17,0,2.8,0,30,1.26,4.58,10,0,21,0,0,1.79,0,3.75,0,0,,5.6,15.68,2.8,0.907877781
443,1/9/2019 16:13,19,1,9,16,13,36,5.5,22.2,0,72.2,0,2218,9,29.4,5,1,5.97,50,134,6.132383,6.132383,255,58,32,3.25,Sniff,14,0,2.3,0,30,1.42,5.18,8,0,26,0,2,1.45,0,4.73,0,0.367,,5.5,12.65,2.3,0.853561935
444,1/9/2019 16:19,19,1,9,16,19,32,5.6,37.5,0,59.4,0,2201,9,29.4,5,1,5.97,50,134,9.157509,7.029229,255,58,33,1.58,Sniff,20,0,3.3,0,29,1.19,4.46,12,0,19,0,1,2.14,0,3.39,0,0.177,,5.6,18.48,3.3,0.966717018
445,1/9/2019 16:25,19,1,9,16,25,29,5.6,34.5,0,62.1,0,2218,9,29.4,5,1,5.94,50,134,7.631258,6.588257,255,58,34,1.8,Sniff,17,0,2.9,0,30,1.16,4.24,10,0,18,0,1,1.79,0,3.22,0,0.176,,5.6,16.24,2.9,0.920019268
446,1/9/2019 16:31,19,1,9,16,31,38,5.5,52.6,2.6,39.5,2.6,2218,9,29.4,5,1,5.94,50,134,15.33096,8.558621,255,58,35,0.751,Sniff,34,3,5.5,4,30,1.08,3.94,20,1,15,1,1,3.63,0.18,2.73,0.18,0.187,,5.5,30.25,5.5,1.198212717
447,1/9/2019 16:37,19,1,9,16,37,35,5.5,42.9,0,51.4,0,2218,9,29.1,5,1,5.97,50,134,11.49822,7.665479,255,58,36,1.2,Sniff,26,0,4.3,0,30.3,1.18,4.29,15,0,18,0,2,2.73,0,3.27,0,0.363,,5.5,23.65,4.3,1.084523025
