Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temp. [Celsius],RH [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Thoron [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),,Total Live Time,Total Radon in Water (D/L),Mean Radon in Water (DPM/L),Sigma (DPM/L)
412,1/9/2019 13:07,19,1,9,13,7,1,5.6,100,0,0,0,2218,9,35.2,10,1,6.09,50,134,0.7597341,3.668321,255,58,1,0,Sniff,1.7,0,0.09,0,29,0,0,1,0,0,0,0,0.179,0,0,0,0,,5.6,0.504,0.09,0.397567282
413,1/9/2019 13:13,19,1,9,13,13,6,5.6,100,0,0,0,2218,9,34.2,9,1,6.09,50,134,4.558405,5.539602,255,58,2,0,Sniff,10,0,1.8,0,29,0,0,6,0,0,0,0,1.07,0,0,0,0,,5.6,10.08,1.8,0.772975606
414,1/9/2019 13:19,19,1,9,13,19,8,5.6,87.5,0,0,0,2201,9,33.3,8,1,6.06,50,134,5.318139,5.817173,255,58,3,0,Sniff,12,0,2.1,0,30,0,0,7,0,0,0,1,1.25,0,0,0,0.179,,5.6,11.76,2.1,0.816448968
415,1/9/2019 13:25,19,1,9,13,25,16,5.6,81.3,0,12.5,0,2218,8,33,7,1,6.06,50,134,9.920636,7.236963,255,58,4,0.154,Sniff,22,0,3.9,0,30.5,0.387,1.4,13,0,2,0,1,2.32,0,0.357,0,0.177,,5.6,21.84,3.9,1.031985939
416,1/9/2019 13:31,19,1,9,13,31,21,5.6,76.2,4.8,4.8,4.8,2218,9,32.7,7,1,6.06,50,134,12.21001,7.819148,255,58,5,0.063,Sniff,26,3,4.5,5,30.8,0.274,0.982,16,1,1,1,2,2.86,0.18,0.18,0.18,0.353,,5.6,25.2,4.5,1.092605992
417,1/9/2019 13:37,19,1,9,13,37,32,5.6,96.9,0,0,0,2218,8,32.4,7,1,6.03,50,134,23.6569,10.16003,255,58,6,0,Sniff,53,0,8.8,0,30.9,0,0,31,0,0,0,1,5.54,0,0,0,0.177,,5.6,49.28,8.8,1.444792707
418,1/9/2019 13:43,19,1,9,13,43,57,5.6,87.7,0,3.5,1.8,2218,9,32.1,7,1,6.06,50,134,38.1563,12.42587,255,58,7,0.0399,Sniff,84,0,14.1,0,31,0.387,1.38,50,0,2,1,4,8.93,0,0.356,0.183,0.713,,5.6,78.96,14.1,1.775363493
419,1/9/2019 13:49,19,1,9,13,49,45,5.5,84.5,0,11.1,0,2218,8,32.1,6,1,6.03,50,134,29.12882,11.10728,255,58,8,0.131,Sniff,66,0,10.8,0,31,0.624,2.22,38,0,5,0,2,6.91,0,0.908,0,0.36,,5.5,59.4,10.8,1.594862489
420,1/9/2019 13:55,19,1,9,13,55,53,5.5,84.9,0,9.4,0,2236,9,32.7,7,1,6,50,134,34.49465,11.93106,255,58,9,0.111,Sniff,78,0,12.6,0,31,0.624,2.22,45,0,5,0,3,8.18,0,0.906,0,0.549,,5.5,69.3,12.6,1.706274459
421,1/9/2019 14:01,19,1,9,14,1,69,5.5,82.6,0,13.1,0,2218,9,33,7,1,6,50,134,43.89005,13.26831,255,58,10,0.159,Sniff,100,0,15.9,0,31.1,0.837,2.98,57,0,9,0,3,10.4,0,1.64,0,0.539,,5.5,87.45,15.9,1.891779276
422,1/9/2019 14:07,19,1,9,14,7,82,5.5,84.2,0,11,0,2218,8,33,6,1,6,50,134,53.13006,14.42458,255,58,11,0.131,Sniff,119,0,19.2,0,30.7,0.837,3,69,0,9,0,4,12.6,0,1.64,0,0.716,,5.5,105.6,19.2,2.059041382
423,1/9/2019 14:13,19,1,9,14,13,95,5.5,79,0,14.7,0,2218,8,32.7,6,1,6,50,134,57.75007,14.96543,255,58,12,0.186,Sniff,129,0,20.8,0,30.4,1.04,3.77,75,0,14,0,6,13.6,0,2.54,0,1.09,,5.5,114.4,20.8,2.134988946
