Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temp. [Celsius],RH [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Thoron [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),,Total Live Time,Total Radon in Water (D/L),Mean Radon (DPM/L),Sigma (DPM/L),,Mean Radon (DPM/m3),Sigma (DPM/m3)
377,1/4/2019 23:24,19,1,4,23,24,61,28,55.8,0,44.3,0,2218,9,27.8,5,1,6.15,50,134,5.180006,2.107372,255,57,11,0.794,Sniff,11.5,0,2.21,0,30.8,0.285,1.21,34,0,27,0,0,1.22,0,0.965,0,0,,28,61.88,2.21,0.318917537,,2210,318.9175372
378,1/4/2019 23:54,19,1,4,23,54,70,28,44.3,1.4,48.6,2.9,2201,11,27.5,5,1,6.12,50,134,4.570594,2.028385,255,57,12,1.1,Sniff,10.1,0.3,1.93,0.6,30.8,0.319,1.36,31,1,34,2,2,1.11,0.035,1.22,0.0725,0.07,,28,54.04,1.93,0.300674814,,1930,300.6748142
379,1/5/2019 0:24,19,1,5,0,24,80,28,47.5,3.8,41.3,0,2218,11,27.5,6,1,6.12,50,134,5.789418,2.207596,255,57,13,0.869,Sniff,12.9,1.7,2.46,3.3,30.7,0.315,1.34,38,3,33,0,6,1.36,0.109,1.18,0,0.211,,28,68.88,2.46,0.334265208,,2460,334.2652078
380,1/5/2019 0:54,19,1,5,0,54,71,28,31,2.8,62,2.8,2218,10,27.5,6,1,6.12,50,134,3.199415,1.766026,255,57,14,2,Sniff,7.1,0.9,1.36,1.8,31,0.363,1.54,22,2,44,2,1,0.786,0.071,1.57,0.071,0.0355,,28,38.08,1.36,0.258978566,,1360,258.9785658
381,1/5/2019 1:24,19,1,5,1,24,49,28,32.7,6.1,55.1,2.1,2201,11,27.2,6,1,6.15,50,134,2.283262,1.559652,255,57,15,1.69,Sniff,5.2,1.8,1,3.4,30.9,0.285,1.21,16,3,27,1,2,0.572,0.107,0.964,0.0368,0.07,,28,28,1,0.2280416,,1000,228.0416003
382,1/5/2019 1:54,19,1,5,1,54,67,28,52.3,4.5,40.3,0,2218,10,27.5,6,1,6.12,50,134,5.332359,2.132943,255,57,16,0.771,Sniff,11.9,1.8,2.27,3.4,30.7,0.285,1.21,35,3,27,0,2,1.25,0.108,0.964,0,0.0694,,28,63.56,2.27,0.322675849,,2270,322.675849
383,1/5/2019 2:24,19,1,5,2,24,84,28,60.7,1.2,34.5,1.2,2218,10,27.5,6,1,6.12,50,134,7.770008,2.501974,255,57,17,0.568,Sniff,17.1,0.4,3.3,0.8,30.9,0.295,1.25,51,1,29,1,2,1.82,0.036,1.04,0.036,0.072,,28,92.4,3.3,0.380870269,,3300,380.8702694
384,1/5/2019 2:54,19,1,5,2,54,85,28,55.3,1.2,38.8,0,2201,11,27.2,6,1,6.12,50,134,7.160596,2.415772,255,57,18,0.702,Sniff,15.9,0.4,3,0.7,30.6,0.315,1.34,47,1,33,0,4,1.68,0.0364,1.18,0,0.143,,28,84,3,0.364983731,,3000,364.9837306
385,1/5/2019 3:24,19,1,5,3,24,95,28,52.6,1.1,45.3,0,2218,10,27.5,5,1,6.12,50,134,7.617656,2.480744,255,57,19,0.861,Sniff,16.9,0.3,3.3,0.6,30.6,0.359,1.53,50,1,43,0,1,1.78,0.0373,1.54,0,0.0339,,28,92.4,3.3,0.380870269,,3300,380.8702694
386,1/5/2019 3:54,19,1,5,3,54,108,28,43.5,2.8,48.2,0,2201,10,27.8,5,1,6.12,50,134,7.166983,2.417927,255,57,20,1.11,Sniff,15.9,1.5,3.1,3,30.6,0.395,1.69,47,3,52,0,6,1.68,0.108,1.86,0,0.212,,28,86.8,3.1,0.370363051,,3100,370.3630507
387,1/5/2019 4:24,19,1,5,4,24,96,28,56.3,3.1,36.5,1.1,2218,9,27.8,5,1,6.15,50,134,8.081918,2.566756,255,57,21,0.648,Sniff,18.1,1.7,3.5,3.2,30.5,0.324,1.39,54,3,35,1,3,1.93,0.106,1.25,0.0377,0.103,,28,98,3.5,0.391066942,,3500,391.0669418
388,1/5/2019 4:54,19,1,5,4,54,89,28,47.2,1.1,48.3,0,2218,10,28.2,6,1,6.12,50,134,6.39883,2.302798,255,57,22,1.02,Sniff,14.2,0.2,2.74,0.5,30.5,0.359,1.54,42,1,43,0,3,1.5,0.035,1.54,0,0.108,,28,76.72,2.74,0.350567669,,2740,350.5676692
389,1/5/2019 5:24,19,1,5,5,24,83,28,39.8,2.4,50.6,2.4,2218,10,28.5,5,1,6.12,50,134,4.875299,2.081433,255,57,23,1.27,Sniff,10.8,0.9,2.08,1.8,30.5,0.355,1.52,33,2,42,2,4,1.18,0.0711,1.5,0.0711,0.142,,28,58.24,2.08,0.310598306,,2080,310.5983058
390,1/5/2019 5:54,19,1,5,5,54,72,28,45.8,1.4,52.8,0,2201,10,28.8,6,1,6.09,50,134,5.027653,2.081433,255,57,24,1.15,Sniff,11.2,0.3,2.15,0.6,30.5,0.338,1.44,33,1,38,0,0,1.18,0.036,1.36,0,0,,28,60.2,2.15,0.315108675,,2150,315.1086745
391,1/5/2019 6:24,19,1,5,6,24,75,28,40,2.7,53.3,1.3,2218,9,29.1,5,1,6.12,50,134,4.570594,2.001239,255,57,25,1.33,Sniff,10,1,1.92,1.9,30.5,0.346,1.48,30,2,40,1,2,1.07,0.0723,1.43,0.0348,0.0723,,28,53.76,1.92,0.3,,1920,300
392,1/5/2019 6:54,19,1,5,6,54,67,28,44.8,0,52.3,0,2218,9,31.8,6,1,6.09,50,134,4.570594,2.001239,255,57,26,1.17,Sniff,10.2,0,1.96,0,30.4,0.324,1.39,30,0,35,0,2,1.07,0,1.25,0,0.0694,,28,54.88,1.96,0.302689023,,1960,302.6890227
393,1/5/2019 7:24,19,1,5,7,24,71,28,39.4,0,53.5,2.8,2218,8,38.5,5,1,6.09,50,134,4.113533,1.945599,255,57,27,1.36,Sniff,9.1,0,1.76,0,30.3,0.338,1.45,28,0,38,2,3,0.999,0,1.36,0.071,0.109,,28,49.28,1.76,0.288958541,,1760,288.9585414
394,1/5/2019 7:54,19,1,5,7,54,70,28,40,0,47.2,4.3,2218,8,38.5,6,1,6.12,50,134,4.117203,1.975411,255,57,28,1.18,Sniff,8.9,0,1.73,0,30.4,0.315,1.35,28,0,33,3,6,1,0,1.18,0.108,0.213,,28,48.44,1.73,0.286834226,,1730,286.8342262
395,1/5/2019 8:24,19,1,5,8,24,63,28,28.6,7.9,60.3,0,2218,8,37,5,1,6.09,50,134,2.742356,1.63289,255,57,29,2.11,Sniff,6.1,3,1.18,5.8,30.5,0.338,1.44,18,5,38,0,2,0.644,0.178,1.36,0,0.072,,28,33.04,1.18,0.244085031,,1180,244.0850307
396,1/5/2019 8:54,19,1,5,8,54,45,28,37.8,8.9,53.3,0,2201,9,37.3,5,1,6.09,50,134,2.590003,1.597465,255,57,30,1.41,Sniff,5.8,2.5,1.11,4.8,30.5,0.268,1.15,17,4,24,0,0,0.608,0.143,0.857,0,0,,28,31.08,1.11,0.237997175,,1110,237.9971751
397,1/5/2019 9:24,19,1,5,9,24,50,28,48,4,44,2,2218,8,38.5,5,1,6.12,50,134,3.656475,1.828237,255,57,31,0.917,Sniff,7.9,1.1,1.53,2.2,30.4,0.257,1.1,24,2,22,1,1,0.857,0.0714,0.786,0.0357,0.0357,,28,42.84,1.53,0.272184934,,1530,272.1849337
398,1/5/2019 9:54,19,1,5,9,54,27,28.1,40.8,7.4,44.5,7.4,2201,9,44.9,5,1,6.09,50,134,1.52082,1.400843,255,57,32,1.09,Sniff,3.3,1.2,0.65,2.4,29.7,0.189,0.824,11,2,12,2,0,0.392,0.0711,0.428,0.0711,0,,28.1,18.265,0.65,0.191786166,,650,191.7861662
399,1/5/2019 10:24,19,1,5,10,24,38,28,50,0,42.1,5.3,2201,9,45.8,5,1,6.09,50,134,2.742356,1.667394,255,57,33,0.842,Sniff,6.1,0,1.19,0,29.6,0.219,0.957,19,0,16,2,1,0.679,0,0.571,0.0719,0.0353,,28,33.32,1.19,0.244940265,,1190,244.9402645
400,1/5/2019 10:54,19,1,5,10,54,25,28,36,4,40,8,2218,9,47.3,6,2,6.12,50,134,1.21774,1.314131,255,57,34,1.11,Sniff,2.7,0.6,0.52,1.1,29.4,0.173,0.761,9,1,10,2,3,0.321,0.0357,0.357,0.0714,0.107,,28,14.56,0.52,0.176593449,,520,176.5934495
401,1/5/2019 11:24,19,1,5,11,24,25,28.1,36,0,60,0,2218,8,47,5,2,6.09,50,134,1.368738,1.266015,255,57,35,1.67,Sniff,3,0,0.6,0,29.3,0.211,0.929,9,0,15,0,1,0.32,0,0.534,0,0.0356,,28.1,16.86,0.6,0.185982538,,600,185.9825381
402,1/5/2019 11:54,19,1,5,11,54,23,28,26.1,8.7,56.5,4.4,2218,8,47,5,2,6.09,50,134,0.7610872,1.109894,255,57,36,2.16,Sniff,1.8,1.2,0.36,2.4,29.7,0.198,0.86,6,2,13,1,1,0.214,0.0715,0.464,0.0361,0.0353,,28,10.08,0.36,0.154595121,,360,154.5951213
403,1/5/2019 12:24,19,1,5,12,24,33,28,42.4,3,45.5,3,2218,9,46.7,5,2,6.09,50,134,2.131044,1.483506,255,57,37,1.07,Sniff,4.6,0.5,0.89,1,30.1,0.212,0.916,14,1,15,1,2,0.5,0.0354,0.536,0.0354,0.0719,,28,24.92,0.89,0.217541744,,890,217.5417437
404,1/5/2019 12:54,19,1,5,12,54,25,28,60,0,36,0,2218,8,46.4,5,2,6.09,50,134,2.285297,1.523531,255,57,38,0.6,Sniff,5.1,0,0.99,0,30.3,0.164,0.706,15,0,9,0,1,0.536,0,0.321,0,0.0357,,28,27.72,0.99,0.227110872,,990,227.1108715
405,1/5/2019 13:24,19,1,5,13,24,29,28,24.2,10.4,51.7,3.5,2218,9,47,5,2,6.09,50,134,1.065522,1.165507,255,57,39,2.14,Sniff,2.2,1.9,0.42,3.7,30.3,0.212,0.912,7,3,15,1,3,0.251,0.108,0.535,0.0363,0.106,,28,11.76,0.42,0.163289794,,420,163.2897936
406,1/5/2019 13:54,19,1,5,13,54,21,28,33.3,0,61.9,4.8,2218,9,44.6,5,2,6.06,50,134,0.9133046,1.165507,255,57,40,1.86,Sniff,2.2,0,0.42,0,30.5,0.198,0.844,7,0,13,1,0,0.25,0,0.464,0.036,0,,28,11.76,0.42,0.163289794,,420,163.2897936
407,1/5/2019 14:24,19,1,5,14,24,32,28,50,6.3,34.4,0,2236,9,44.3,5,1,6.06,50,134,2.43765,1.561042,255,57,41,0.688,Sniff,5.4,1.3,1.04,2.4,30.5,0.182,0.777,16,2,11,0,3,0.571,0.072,0.393,0,0.106,,28,29.12,1.04,0.231720325,,1040,231.7203248
408,1/5/2019 14:54,19,1,5,14,54,27,28,55.6,3.7,33.3,0,2218,9,47.7,6,2,6.06,50,134,2.283262,1.522174,255,57,42,0.599,Sniff,5.1,0.6,0.98,1.2,29.8,0.164,0.714,15,1,9,0,2,0.536,0.0357,0.321,0,0.0714,,28,27.44,0.98,0.226175595,,980,226.1755947
409,1/5/2019 15:24,19,1,5,15,24,28,28,50,3.6,32.2,10.7,2218,8,44,8,1,6.03,50,134,1.978827,1.522174,255,57,43,0.644,Sniff,4.2,0.6,0.82,1.1,31.8,0.164,0.683,14,1,9,3,1,0.5,0.036,0.322,0.107,0.035,,28,22.96,0.82,0.210531975,,820,210.531975
410,1/5/2019 15:54,19,1,5,15,54,35,28,34.3,8.6,45.7,2.9,2218,9,40.3,11,1,6.03,50,134,1.674392,1.40209,255,57,44,1.33,Sniff,3.9,1.9,0.73,3.6,31.3,0.219,0.921,12,3,16,1,3,0.429,0.108,0.571,0.0363,0.106,,28,20.44,0.73,0.201083384,,730,201.0833843
411,1/5/2019 16:24,19,1,5,16,24,24,28,33.3,12.5,45.8,4.2,2218,8,38.5,13,1,6.03,50,134,1.21774,1.21774,255,57,45,1.38,Sniff,2.5,1.9,0.48,3.7,31,0.182,0.768,8,3,11,1,1,0.285,0.107,0.393,0.036,0.036,,28,13.44,0.48,0.171428571,,480,171.4285714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5,km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.416666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
