Test #,Full Date,Year,Month,Day,Hour,Minute,Total Counts,Live Time [Minutes],% Counts (A),% Counts (B),% Counts (C),% Counts (D),High Voltage,HV Duty Cycle,Air Temp. [Celsius],RH [%],Leakage Current,Battery Voltage,Pump Current [mA],Flags Byte,Radon [pCi/L],Radon 2-Sigma Uncert. [pCi/L],Units Byte,Run #,Cycle #,C/A Count Ratio,Mode,Calculated Radon [Dpm/L],Calculated Thoron [Dpm/L],Radon In Water [Dpm/L],Thoron In Water [Dpm/L],Water Temperature [Celsius],Meaningful Thoron Threshold (Air) [pCi/L],Meaningful Thoron Threshold (Water) [Dpm/L],Total Counts (A),Total Counts (B),Total Counts (C),Total Counts (D),Total Counts (Other),Avg. CPM (A),Avg. CPM (B),Avg. CPM (C),Avg. CPM (D),Avg. CPM (Other),,Total Live Time,Total Radon in Water (D/L),Mean Radon (DPM/L),Sigma (DPM/L),,Mean Radon (DPM/m3),Sigma (DPM/m3)
367,1/4/2019 18:23,19,1,4,18,23,13,28.1,84.6,15.4,0,0,2218,8,30.3,8,1,6.24,50,134,1.671415,1.356612,255,57,1,0,Sniff,3.7,1.4,0.4,2.6,30.7,0,0,11,2,0,0,0,0.391,0.0712,0,0,0,,28.1,11.24,0.4,0.1600915,,400,160.0914995
368,1/4/2019 18:54,19,1,4,18,54,24,28.1,75,4.2,16.7,0,2218,9,30,7,1,6.21,50,134,2.735043,1.628535,255,57,2,0.223,Sniff,6.1,0.6,1.16,1.2,30.8,0.109,0.463,18,1,4,0,1,0.641,0.0359,0.143,0,0.035,,28.1,32.596,1.16,0.241857853,,1160,241.8578525
369,1/4/2019 19:24,19,1,4,19,24,29,28.1,55.2,0,41.4,0,2218,9,29.7,7,1,6.21,50,134,2.431149,1.556879,255,57,3,0.75,Sniff,5.4,0,1.03,0,30.7,0.189,0.805,16,0,12,0,1,0.57,0,0.427,0,0.0351,,28.1,28.943,1.03,0.230320987,,1030,230.3209871
370,1/4/2019 19:54,19,1,4,19,54,46,28.1,56.5,2.2,37,2.2,2218,9,29.7,6,1,6.18,50,134,3.950617,1.882971,255,57,4,0.655,Sniff,8.6,0.5,1.65,1,30.6,0.225,0.959,26,1,17,1,1,0.925,0.036,0.606,0.036,0.0344,,28.1,46.365,1.65,0.280506174,,1650,280.5061736
371,1/4/2019 20:24,19,1,4,20,24,57,28.1,54.4,1.8,38.6,0,2218,9,30,6,1,6.18,50,134,4.714542,2.024776,255,57,5,0.71,Sniff,10.5,0.5,2.01,0.9,30.6,0.256,1.09,31,1,22,0,3,1.1,0.0365,0.783,0,0.105,,28.1,56.481,2.01,0.305395819,,2010,305.3958191
372,1/4/2019 20:54,19,1,4,20,54,68,28.1,51.5,3,41.2,0,2218,8,30,6,1,6.18,50,134,5.322871,2.129148,255,57,6,0.8,Sniff,11.8,1.1,2.27,2.1,30.5,0.289,1.23,35,2,28,0,3,1.25,0.0726,0.997,0,0.104,,28.1,63.787,2.27,0.322029794,,2270,322.0297939
373,1/4/2019 21:24,19,1,4,21,24,66,28.1,51.5,0,45.5,0,2218,9,30,6,1,6.15,50,134,5.170789,2.103622,255,57,7,0.883,Sniff,11.5,0,2.21,0,30.8,0.299,1.27,34,0,30,0,2,1.21,0,1.07,0,0.0705,,28.1,62.101,2.21,0.318278071,,2210,318.2780707
374,1/4/2019 21:54,19,1,4,21,54,71,28.1,47.9,1.4,47.9,1.4,2218,9,29.7,5,1,6.15,50,134,5.018707,2.103622,255,57,8,1,Sniff,11.3,0.3,2.16,0.7,30.5,0.318,1.36,34,1,34,1,1,1.21,0.0354,1.21,0.0354,0.0354,,28.1,60.696,2.16,0.315113172,,2160,315.113172
375,1/4/2019 22:24,19,1,4,22,24,65,28.1,43.1,0,52.3,1.6,2218,9,29.7,5,1,6.15,50,134,4.106214,1.942137,255,57,9,1.21,Sniff,9.3,0,1.78,0,30.7,0.318,1.35,28,0,34,1,2,0.997,0,1.21,0.037,0.0694,,28.1,50.018,1.78,0.289775394,,1780,289.7753939
376,1/4/2019 22:54,19,1,4,22,54,60,28,56.7,0,40,0,2218,9,28.5,5,1,6.15,50,134,5.180006,2.107372,255,57,10,0.705,Sniff,11.5,0,2.21,0,30.7,0.268,1.14,34,0,24,0,2,1.22,0,0.857,0,0.0707,,28,61.88,2.21,0.318917537,,2210,318.9175372
