"Plot Title: SN_739_010619_CalEnd"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>100)","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)","Specific Conductance, μS/cm (LGR S/N: 20494739)","Salinity, ppt (LGR S/N: 20494739)","Coupler Detached (LGR S/N: 20494739)","Coupler Attached (LGR S/N: 20494739)","Host Connected (LGR S/N: 20494739)","Stopped (LGR S/N: 20494739)","End Of File (LGR S/N: 20494739)"
1,01/09/19 08:20:42 AM,0.0,0.0,23.35,,,,,,,
2,01/09/19 08:20:57 AM,0.0,0.0,23.37,,,,,,,
3,01/09/19 08:21:12 AM,0.0,0.0,23.41,,,,,,,
4,01/09/19 08:21:21 AM,,,,,,Logged,,,,
5,01/09/19 08:21:27 AM,0.0,0.0,23.50,,,,,,,
6,01/09/19 08:21:42 AM,0.0,0.0,22.66,,,,,,,
7,01/09/19 08:21:57 AM,30464.8,35899.7,22.49,,,,,,,
8,01/09/19 08:22:12 AM,30530.4,35652.1,22.57,,,,,,,
9,01/09/19 08:22:27 AM,30622.5,35567.8,22.59,50000.0,32.7375,,,,,
10,01/09/19 08:22:42 AM,30752.4,35502.1,22.59,49908.0,32.6699,,,,,
11,01/09/19 08:22:57 AM,30759.1,35433.0,22.59,49811.2,32.5989,,,,,
12,01/09/19 08:23:12 AM,30923.1,35414.8,22.57,49806.3,32.5953,,,,,
13,01/09/19 08:23:27 AM,30989.9,35400.3,22.55,49806.6,32.5956,,,,,
14,01/09/19 08:23:42 AM,0.0,0.0,22.68,0.0,0.0123,,,,,
15,01/09/19 08:23:57 AM,0.0,0.0,22.68,0.0,0.0123,,,,,
16,01/09/19 08:24:12 AM,26588.2,30191.4,22.32,42687.7,27.4361,,,,,
17,01/09/19 08:24:27 AM,27011.9,30358.5,22.30,42941.7,27.6179,,,,,
18,01/09/19 08:24:42 AM,27082.0,30399.2,22.33,42972.7,27.6402,,,,,
19,01/09/19 08:24:57 AM,27152.3,30407.4,22.35,42966.8,27.6359,,,,,
20,01/09/19 08:25:12 AM,27220.9,30440.0,22.35,43013.0,27.6690,,,,,
21,01/09/19 08:25:27 AM,27255.3,30453.6,22.36,43023.5,27.6765,,,,,
22,01/09/19 08:25:42 AM,0.0,0.0,22.43,0.0,0.0123,,,,,
23,01/09/19 08:25:57 AM,0.0,0.0,22.43,0.0,0.0123,,,,,
24,01/09/19 08:26:12 AM,0.0,0.0,22.43,0.0,0.0123,,,,,
25,01/09/19 08:26:27 AM,0.0,0.0,22.40,0.0,0.0123,,,,,
26,01/09/19 08:26:42 AM,0.0,0.0,22.38,0.0,0.0123,,,,,
27,01/09/19 08:26:57 AM,0.0,0.0,22.38,0.0,0.0123,,,,,
28,01/09/19 08:27:12 AM,0.0,0.0,22.36,0.0,0.0123,,,,,
29,01/09/19 08:27:27 AM,0.0,0.0,22.35,0.0,0.0123,,,,,
30,01/09/19 08:27:42 AM,0.0,0.0,22.32,0.0,0.0123,,,,,
31,01/09/19 08:27:57 AM,0.0,0.0,22.29,0.0,0.0123,,,,,
32,01/09/19 08:28:12 AM,0.0,0.0,22.28,0.0,0.0123,,,,,
33,01/09/19 08:28:27 AM,0.0,0.0,22.28,0.0,0.0123,,,,,
34,01/09/19 08:28:42 AM,0.0,0.0,22.26,0.0,0.0123,,,,,
35,01/09/19 08:28:57 AM,0.0,0.0,22.26,0.0,0.0123,,,,,
36,01/09/19 08:29:12 AM,0.0,0.0,22.25,0.0,0.0123,,,,,
37,01/09/19 08:29:27 AM,0.0,0.0,22.22,0.0,0.0123,,,,,
