"Plot Title: SN_738"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494738, SEN S/N: 20494738, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494738, SEN S/N: 20494738, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494738)","Salinity, ppt (LGR S/N: 20494738)"
1,01/06/19 08:00:23 AM,0.0,25.29,,
2,01/06/19 08:00:38 AM,0.0,25.28,,
3,01/06/19 08:00:53 AM,0.0,25.28,,
4,01/06/19 08:01:08 AM,0.0,25.34,,
5,01/06/19 08:01:23 AM,35767.3,24.96,,
6,01/06/19 08:01:38 AM,32405.9,24.95,,
7,01/06/19 08:01:53 AM,32028.1,24.96,,
8,01/06/19 08:02:08 AM,31862.2,24.97,,
9,01/06/19 08:02:23 AM,31726.9,24.97,,
10,01/06/19 08:02:38 AM,31632.4,24.97,,
11,01/06/19 08:02:53 AM,31628.8,24.97,,
12,01/06/19 08:03:08 AM,0.0,24.83,,
13,01/06/19 08:03:23 AM,0.0,24.77,,
14,01/06/19 08:03:38 AM,155.8,24.58,,
15,01/06/19 08:03:53 AM,0.0,24.67,,
16,01/06/19 08:04:08 AM,0.0,25.20,,
17,01/06/19 08:04:23 AM,36919.7,24.79,,
18,01/06/19 08:04:38 AM,36826.1,24.79,,
19,01/06/19 08:04:53 AM,36802.7,24.79,,
20,01/06/19 08:05:08 AM,36700.3,24.79,50197.7,32.8827
21,01/06/19 08:05:23 AM,36807.4,24.79,50344.2,32.9904
22,01/06/19 08:05:38 AM,36793.4,24.79,50325.0,32.9763
23,01/06/19 08:05:53 AM,36718.9,24.78,50233.1,32.9088
24,01/06/19 08:06:08 AM,36802.7,24.78,50347.7,32.9930
25,01/06/19 08:06:23 AM,36742.2,24.77,50275.0,32.9395
26,01/06/19 08:06:38 AM,36746.8,24.77,50281.3,32.9442
27,01/06/19 08:06:53 AM,4081.8,24.74,5589.2,3.0177
28,01/06/19 08:07:08 AM,4118.4,24.70,5643.9,3.0492
29,01/06/19 08:07:23 AM,112.9,24.49,155.4,0.0768
30,01/06/19 08:07:38 AM,0.0,24.58,0.0,0.0123
31,01/06/19 08:07:53 AM,0.0,24.76,0.0,0.0123
32,01/06/19 08:08:08 AM,0.0,24.74,0.0,0.0123
33,01/06/19 08:08:23 AM,0.0,24.78,0.0,0.0123
34,01/06/19 08:08:38 AM,0.0,24.74,0.0,0.0123
35,01/06/19 08:08:53 AM,0.0,24.75,0.0,0.0123
36,01/06/19 08:09:08 AM,0.0,24.76,0.0,0.0123
37,01/06/19 08:09:23 AM,0.0,24.80,0.0,0.0123
38,01/06/19 08:09:38 AM,0.0,24.85,0.0,0.0123
