"Plot Title: LoggerU24_740_20190105"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
1,01/05/19 08:19:59 AM,0.0,26.91,,,,,,,
2,01/05/19 08:20:09 AM,0.0,26.93,,,,,,,
3,01/05/19 08:20:11 AM,,,,,Logged,,,,
4,01/05/19 08:20:19 AM,0.0,26.94,,,,,,,
5,01/05/19 08:20:29 AM,0.0,26.94,,,,,,,
6,01/05/19 08:20:39 AM,0.0,26.94,,,,,,,
7,01/05/19 08:20:49 AM,0.0,26.94,,,,,,,
8,01/05/19 08:20:59 AM,0.0,26.96,,,,,,,
9,01/05/19 08:21:09 AM,0.0,26.96,,,,,,,
10,01/05/19 08:21:19 AM,0.0,26.96,,,,,,,
11,01/05/19 08:21:29 AM,0.0,26.97,,,,,,,
12,01/05/19 08:21:39 AM,0.0,26.97,,,,,,,
13,01/05/19 08:21:49 AM,0.0,26.98,,,,,,,
14,01/05/19 08:21:59 AM,0.0,26.98,,,,,,,
15,01/05/19 08:22:09 AM,0.0,26.98,,,,,,,
16,01/05/19 08:22:19 AM,0.0,26.99,,,,,,,
17,01/05/19 08:22:29 AM,0.0,26.99,,,,,,,
18,01/05/19 08:22:39 AM,0.0,27.22,,,,,,,
19,01/05/19 08:22:49 AM,0.0,27.19,,,,,,,
20,01/05/19 08:22:59 AM,0.0,27.19,,,,,,,
21,01/05/19 08:23:09 AM,0.0,27.19,,,,,,,
22,01/05/19 08:23:19 AM,0.0,26.35,,,,,,,
23,01/05/19 08:23:29 AM,0.0,26.04,,,,,,,
24,01/05/19 08:23:39 AM,34928.0,26.19,,,,,,,
25,01/05/19 08:23:49 AM,35572.3,26.24,,,,,,,
26,01/05/19 08:23:59 AM,36114.3,26.20,48841.0,31.8881,,,,,
27,01/05/19 08:24:09 AM,36215.0,26.23,48947.5,31.9660,,,,,
28,01/05/19 08:24:19 AM,36286.7,26.27,49005.1,32.0082,,,,,
29,01/05/19 08:24:29 AM,36320.5,26.28,49040.1,32.0338,,,,,
30,01/05/19 08:24:39 AM,36350.1,26.27,49088.5,32.0692,,,,,
31,01/05/19 08:24:49 AM,36507.2,26.22,49347.8,32.2591,,,,,
32,01/05/19 08:24:59 AM,36460.3,26.23,49273.6,32.2047,,,,,
33,01/05/19 08:25:09 AM,6040.4,26.09,8181.9,4.5361,,,,,
34,01/05/19 08:25:19 AM,6025.5,26.09,8161.6,4.5240,,,,,
35,01/05/19 08:25:29 AM,6005.2,26.04,8142.0,4.5124,,,,,
36,01/05/19 08:25:39 AM,5986.9,26.00,8123.5,4.5014,,,,,
37,01/05/19 08:25:49 AM,5957.2,25.89,8100.8,4.4879,,,,,
38,01/05/19 08:25:59 AM,5942.3,25.91,8077.1,4.4738,,,,,
39,01/05/19 08:26:09 AM,5924.1,25.85,8061.8,4.4648,,,,,
40,01/05/19 08:26:19 AM,5912.7,25.84,8047.7,4.4564,,,,,
41,01/05/19 08:26:29 AM,5889.8,25.78,8026.0,4.4435,,,,,
42,01/05/19 08:26:39 AM,5872.9,25.72,8012.4,4.4354,,,,,
43,01/05/19 08:26:49 AM,5858.8,25.69,7997.8,4.4267,,,,,
44,01/05/19 08:26:59 AM,5848.0,25.69,7982.9,4.4179,,,,,
45,01/05/19 08:27:09 AM,5840.0,25.69,7971.8,4.4113,,,,,
