"Plot Title: LoggerU24_20190104"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Lo>100)","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
1,01/04/19 10:39:16 AM,0.0,0.0,26.99,,,,,,,
2,01/04/19 10:39:26 AM,0.0,0.0,26.99,,,,,,,
3,01/04/19 10:39:36 AM,0.0,0.0,26.99,,,,,,,
4,01/04/19 10:39:46 AM,0.0,0.0,27.01,,,,,,,
5,01/04/19 10:39:56 AM,0.0,0.0,27.01,,,,,,,
6,01/04/19 10:40:04 AM,,,,,,Logged,,,,
7,01/04/19 10:40:06 AM,0.0,0.0,27.02,,,,,,,
8,01/04/19 10:40:16 AM,0.0,0.0,27.06,,,,,,,
9,01/04/19 10:40:26 AM,0.0,0.0,27.06,,,,,,,
10,01/04/19 10:40:36 AM,0.0,0.0,27.04,,,,,,,
11,01/04/19 10:40:46 AM,0.0,0.0,27.04,,,,,,,
12,01/04/19 10:40:56 AM,0.0,0.0,27.04,,,,,,,
13,01/04/19 10:41:06 AM,0.0,0.0,27.09,,,,,,,
14,01/04/19 10:41:16 AM,0.0,0.0,27.09,,,,,,,
15,01/04/19 10:41:26 AM,0.0,0.0,27.08,,,,,,,
16,01/04/19 10:41:36 AM,0.0,0.0,27.08,,,,,,,
17,01/04/19 10:41:46 AM,0.0,0.0,27.08,,,,,,,
18,01/04/19 10:41:56 AM,0.0,0.0,27.09,,,,,,,
19,01/04/19 10:42:06 AM,0.0,0.0,27.09,,,,,,,
20,01/04/19 10:42:16 AM,0.0,0.0,27.10,,,,,,,
21,01/04/19 10:42:26 AM,0.0,0.0,27.11,,,,,,,
22,01/04/19 10:42:36 AM,33232.5,54331.1,26.54,48558.4,31.6815,,,,,
23,01/04/19 10:42:46 AM,33232.5,51764.0,26.50,46302.5,30.0397,,,,,
24,01/04/19 10:42:56 AM,33232.5,50695.6,26.52,45332.9,29.3380,,,,,
25,01/04/19 10:43:06 AM,33232.5,50006.5,26.53,44711.9,28.8899,,,,,
26,01/04/19 10:43:16 AM,33232.5,49750.5,26.52,44495.7,28.7341,,,,,
27,01/04/19 10:43:26 AM,33232.5,49549.7,26.50,44337.3,28.6200,,,,,
28,01/04/19 10:43:36 AM,33232.5,49463.0,26.50,44263.9,28.5672,,,,,
29,01/04/19 10:43:46 AM,33232.5,49436.3,26.52,44227.1,28.5407,,,,,
30,01/04/19 10:43:56 AM,33232.5,49224.0,26.50,44058.2,28.4192,,,,,
31,01/04/19 10:44:06 AM,33232.5,49019.5,26.48,43896.2,28.3027,,,,,
32,01/04/19 10:44:16 AM,33232.5,48842.3,26.46,43758.4,28.2038,,,,,
33,01/04/19 10:44:26 AM,33232.5,48679.0,26.44,43633.1,28.1137,,,,,
34,01/04/19 10:44:36 AM,33232.5,48587.9,26.43,43563.9,28.0641,,,,,
35,01/04/19 10:44:46 AM,33232.5,48406.4,26.40,43430.4,27.9683,,,,,
36,01/04/19 10:44:56 AM,33232.5,48361.2,26.39,43402.3,27.9481,,,,,
37,01/04/19 10:45:06 AM,33232.5,48200.1,26.38,43270.1,27.8533,,,,,
38,01/04/19 10:45:16 AM,33232.5,48225.8,26.37,43305.7,27.8788,,,,,
39,01/04/19 10:45:26 AM,1435.7,1903.3,26.36,1708.3,0.8620,,,,,
40,01/04/19 10:45:36 AM,0.0,0.0,26.35,0.0,0.0123,,,,,
41,01/04/19 10:45:46 AM,0.0,0.0,26.33,0.0,0.0123,,,,,
42,01/04/19 10:45:49 AM,,,,,,,Logged,,,
43,01/04/19 10:45:56 AM,0.0,0.0,26.31,0.0,0.0123,,,,,
44,01/04/19 10:45:57 AM,,,,,,,,Logged,,
45,01/04/19 10:46:06 AM,0.0,0.0,26.29,0.0,0.0123,,,,,
46,01/04/19 10:46:16 AM,0.0,0.0,26.26,0.0,0.0123,,,,,
47,01/04/19 10:46:26 AM,0.0,0.0,26.21,0.0,0.0123,,,,,
48,01/04/19 10:46:36 AM,0.0,0.0,26.18,0.0,0.0123,,,,,
49,01/04/19 10:46:46 AM,0.0,0.0,26.14,0.0,0.0123,,,,,
50,01/04/19 10:46:56 AM,0.0,0.0,26.13,0.0,0.0123,,,,,
51,01/04/19 10:47:06 AM,0.0,0.0,26.11,0.0,0.0123,,,,,
52,01/04/19 10:47:16 AM,0.0,0.0,26.09,0.0,0.0123,,,,,
53,01/04/19 10:47:26 AM,0.0,0.0,26.08,0.0,0.0123,,,,,
54,01/04/19 10:47:36 AM,0.0,0.0,26.08,0.0,0.0123,,,,,
55,01/04/19 10:47:46 AM,0.0,0.0,26.12,0.0,0.0123,,,,,
56,01/04/19 10:47:47 AM,,,,,,Logged,,,,
57,01/04/19 10:47:56 AM,0.0,0.0,26.05,0.0,0.0123,,,,,
58,01/04/19 10:48:06 AM,0.0,0.0,26.04,0.0,0.0123,,,,,
59,01/04/19 10:48:16 AM,0.0,0.0,26.04,0.0,0.0123,,,,,
60,01/04/19 10:48:26 AM,0.0,0.0,26.02,0.0,0.0123,,,,,
61,01/04/19 10:48:36 AM,0.0,0.0,26.01,0.0,0.0123,,,,,
62,01/04/19 10:48:46 AM,0.0,0.0,26.00,0.0,0.0123,,,,,
63,01/04/19 10:48:56 AM,0.0,0.0,25.98,0.0,0.0123,,,,,
64,01/04/19 10:49:06 AM,0.0,0.0,25.98,0.0,0.0123,,,,,
65,01/04/19 10:49:16 AM,0.0,0.0,25.96,0.0,0.0123,,,,,
66,01/04/19 10:49:26 AM,0.0,0.0,25.96,0.0,0.0123,,,,,
67,01/04/19 10:49:36 AM,0.0,0.0,25.95,0.0,0.0123,,,,,
68,01/04/19 10:49:46 AM,0.0,0.0,25.95,0.0,0.0123,,,,,
69,01/04/19 10:49:56 AM,0.0,0.0,25.93,0.0,0.0123,,,,,
70,01/04/19 10:50:06 AM,0.0,0.0,25.93,0.0,0.0123,,,,,
71,01/04/19 10:50:16 AM,0.0,0.0,25.92,0.0,0.0123,,,,,
72,01/04/19 10:50:26 AM,0.0,0.0,25.92,0.0,0.0123,,,,,
73,01/04/19 10:50:36 AM,0.0,0.0,25.91,0.0,0.0123,,,,,
74,01/04/19 10:50:46 AM,0.0,0.0,25.89,0.0,0.0123,,,,,
75,01/04/19 10:50:56 AM,0.0,0.0,25.88,0.0,0.0123,,,,,
76,01/04/19 10:51:06 AM,0.0,0.0,25.87,0.0,0.0123,,,,,
77,01/04/19 10:51:16 AM,0.0,0.0,25.86,0.0,0.0123,,,,,
78,01/04/19 10:51:26 AM,0.0,0.0,25.86,0.0,0.0123,,,,,
79,01/04/19 10:51:36 AM,0.0,0.0,25.86,0.0,0.0123,,,,,
80,01/04/19 10:51:46 AM,0.0,0.0,25.86,0.0,0.0123,,,,,
81,01/04/19 10:51:56 AM,0.0,0.0,25.86,0.0,0.0123,,,,,
82,01/04/19 10:52:06 AM,0.0,0.0,25.85,0.0,0.0123,,,,,
83,01/04/19 10:52:16 AM,0.0,0.0,25.85,0.0,0.0123,,,,,
84,01/04/19 10:52:26 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
85,01/04/19 10:52:36 AM,0.0,0.0,25.83,0.0,0.0123,,,,,
86,01/04/19 10:52:46 AM,0.0,0.0,25.83,0.0,0.0123,,,,,
87,01/04/19 10:52:56 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
88,01/04/19 10:53:06 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
89,01/04/19 10:53:16 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
90,01/04/19 10:53:26 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
91,01/04/19 10:53:36 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
92,01/04/19 10:53:46 AM,0.0,0.0,25.84,0.0,0.0123,,,,,
