	"Date Time, GMT-10:00"	"Low Range, ?S/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>100)"	"High Range, ?S/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)"	"Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)"	"Specific Conductance, ?S/cm (LGR S/N: 20494739)"	"Salinity, ppt (LGR S/N: 20494739)"
1	1/6/2019 7:54	0	0	25.46		
2	1/6/2019 7:54	0	0	25.45		
3	1/6/2019 7:54	0	0	25.45		
4	1/6/2019 7:54	0	0	25.44		
5	1/6/2019 7:55	0	0	25.44		
6	1/6/2019 7:55	0	0	25.44		
7	1/6/2019 7:55	33183.7	37516.3	25.11		
8	1/6/2019 7:55	33183.7	34236.3	25.09		
9	1/6/2019 7:56	33183.7	33911.8	25.09		
10	1/6/2019 7:56	33183.7	33824.9	25.09		
11	1/6/2019 7:56	33183.7	33711.9	25.09		
12	1/6/2019 7:56	33183.7	33645.7	25.09		
13	1/6/2019 7:57	33183.7	33625.9	25.09		
14	1/6/2019 7:57	33183.7	33569.9	25.08		
15	1/6/2019 7:57	2625	2683.1	25.07		
16	1/6/2019 7:57	2645.4	2679.7	24.85		
17	1/6/2019 7:58	0	0	24.66		
18	1/6/2019 7:58	0	0	24.96		
19	1/6/2019 7:58	33183.7	39395.6	24.89		
20	1/6/2019 7:58	33183.7	39351.9	24.9		
21	1/6/2019 7:59	33183.7	39138.9	24.9	50098.7	32.81
22	1/6/2019 7:59	33183.7	38966.5	24.89	49887.9	32.6552
23	1/6/2019 7:59	33183.7	38795.5	24.89	49669	32.4946
24	1/6/2019 7:59	33183.7	38718.9	24.89	49570.9	32.4227
25	1/6/2019 8:00	33183.7	38782.7	24.89	49652.6	32.4826
26	1/6/2019 8:00	33183.7	38833.8	24.88	49727.9	32.5378
27	1/6/2019 8:00	33183.7	38863.7	24.88	49766.2	32.5659
28	1/6/2019 8:00	33183.7	38923.6	24.88	49842.9	32.6222
29	1/6/2019 8:01	4305.1	4296.8	24.76	5515.9	2.9755
30	1/6/2019 8:01	4394	4398.8	24.82	5640	3.047
31	1/6/2019 8:01	4361.8	4362.2	24.68	5609	3.0291
32	1/6/2019 8:01	0	0	24.57	0	0.0123
33	1/6/2019 8:02	0	0	24.56	0	0.0123
34	1/6/2019 8:02	0	0	24.57	0	0.0123
35	1/6/2019 8:02	0	0	24.54	0	0.0123
36	1/6/2019 8:02	0	0	24.5	0	0.0123
37	1/6/2019 8:03	0	0	24.49	0	0.0123
38	1/6/2019 8:03	0	0	24.43	0	0.0123
39	1/6/2019 8:03	0	0	24.42	0	0.0123
40	1/6/2019 8:03	0	0	24.44	0	0.0123
41	1/6/2019 8:04	0	0	24.41	0	0.0123
42	1/6/2019 8:04	0	0	24.4	0	0.0123
43	1/6/2019 8:04	0	0	24.33	0	0.0123
44	1/6/2019 8:04	0	0	24.35	0	0.0123
