"Plot Title: SN_739"
"#","Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>100)","High Range, μS/cm (LGR S/N: 20494739, SEN S/N: 20494739, LBL: <Enter label here>55,000)","Temp, °C (LGR S/N: 20494739, SEN S/N: 20494739)","Specific Conductance, μS/cm (LGR S/N: 20494739)","Salinity, ppt (LGR S/N: 20494739)","Coupler Detached (LGR S/N: 20494739)","Coupler Attached (LGR S/N: 20494739)","Host Connected (LGR S/N: 20494739)","Stopped (LGR S/N: 20494739)","End Of File (LGR S/N: 20494739)"
1,01/06/19 07:54:12 AM,0.0,0.0,25.46,,,,,,,
2,01/06/19 07:54:27 AM,0.0,0.0,25.45,,,,,,,
3,01/06/19 07:54:33 AM,,,,,,Logged,,,,
4,01/06/19 07:54:42 AM,0.0,0.0,25.45,,,,,,,
5,01/06/19 07:54:57 AM,0.0,0.0,25.44,,,,,,,
6,01/06/19 07:55:12 AM,0.0,0.0,25.44,,,,,,,
7,01/06/19 07:55:27 AM,0.0,0.0,25.44,,,,,,,
8,01/06/19 07:55:42 AM,33183.7,37516.3,25.11,,,,,,,
9,01/06/19 07:55:57 AM,33183.7,34236.3,25.09,,,,,,,
10,01/06/19 07:56:12 AM,33183.7,33911.8,25.09,,,,,,,
11,01/06/19 07:56:27 AM,33183.7,33824.9,25.09,,,,,,,
12,01/06/19 07:56:42 AM,33183.7,33711.9,25.09,,,,,,,
13,01/06/19 07:56:57 AM,33183.7,33645.7,25.09,,,,,,,
14,01/06/19 07:57:12 AM,33183.7,33625.9,25.09,,,,,,,
15,01/06/19 07:57:27 AM,33183.7,33569.9,25.08,,,,,,,
16,01/06/19 07:57:42 AM,2625.0,2683.1,25.07,,,,,,,
17,01/06/19 07:57:57 AM,2645.4,2679.7,24.85,,,,,,,
18,01/06/19 07:58:12 AM,0.0,0.0,24.66,,,,,,,
19,01/06/19 07:58:27 AM,0.0,0.0,24.96,,,,,,,
20,01/06/19 07:58:42 AM,33183.7,39395.6,24.89,,,,,,,
21,01/06/19 07:58:57 AM,33183.7,39351.9,24.90,,,,,,,
22,01/06/19 07:59:12 AM,33183.7,39138.9,24.90,50098.7,32.8100,,,,,
23,01/06/19 07:59:27 AM,33183.7,38966.5,24.89,49887.9,32.6552,,,,,
24,01/06/19 07:59:42 AM,33183.7,38795.5,24.89,49669.0,32.4946,,,,,
25,01/06/19 07:59:57 AM,33183.7,38718.9,24.89,49570.9,32.4227,,,,,
26,01/06/19 08:00:12 AM,33183.7,38782.7,24.89,49652.6,32.4826,,,,,
27,01/06/19 08:00:27 AM,33183.7,38833.8,24.88,49727.9,32.5378,,,,,
28,01/06/19 08:00:42 AM,33183.7,38863.7,24.88,49766.2,32.5659,,,,,
29,01/06/19 08:00:57 AM,33183.7,38923.6,24.88,49842.9,32.6222,,,,,
30,01/06/19 08:01:12 AM,4305.1,4296.8,24.76,5515.9,2.9755,,,,,
31,01/06/19 08:01:27 AM,4394.0,4398.8,24.82,5640.0,3.0470,,,,,
32,01/06/19 08:01:42 AM,4361.8,4362.2,24.68,5609.0,3.0291,,,,,
33,01/06/19 08:01:57 AM,0.0,0.0,24.57,0.0,0.0123,,,,,
34,01/06/19 08:02:12 AM,0.0,0.0,24.56,0.0,0.0123,,,,,
35,01/06/19 08:02:27 AM,0.0,0.0,24.57,0.0,0.0123,,,,,
36,01/06/19 08:02:42 AM,0.0,0.0,24.54,0.0,0.0123,,,,,
37,01/06/19 08:02:57 AM,0.0,0.0,24.50,0.0,0.0123,,,,,
38,01/06/19 08:03:12 AM,0.0,0.0,24.49,0.0,0.0123,,,,,
39,01/06/19 08:03:27 AM,0.0,0.0,24.43,0.0,0.0123,,,,,
40,01/06/19 08:03:42 AM,0.0,0.0,24.42,0.0,0.0123,,,,,
41,01/06/19 08:03:57 AM,0.0,0.0,24.44,0.0,0.0123,,,,,
42,01/06/19 08:04:12 AM,0.0,0.0,24.41,0.0,0.0123,,,,,
43,01/06/19 08:04:27 AM,0.0,0.0,24.40,0.0,0.0123,,,,,
44,01/06/19 08:04:42 AM,0.0,0.0,24.33,0.0,0.0123,,,,,
45,01/06/19 08:04:57 AM,0.0,0.0,24.35,0.0,0.0123,,,,,
46,01/06/19 08:05:12 AM,0.0,0.0,24.38,0.0,0.0123,,,,,
47,01/06/19 08:05:27 AM,0.0,0.0,24.35,0.0,0.0123,,,,,
48,01/06/19 08:05:42 AM,0.0,0.0,24.29,0.0,0.0123,,,,,
49,01/06/19 08:05:57 AM,0.0,0.0,24.25,0.0,0.0123,,,,,
50,01/06/19 08:06:12 AM,0.0,0.0,24.30,0.0,0.0123,,,,,
51,01/06/19 08:06:27 AM,0.0,0.0,24.24,0.0,0.0123,,,,,
52,01/06/19 08:06:42 AM,0.0,0.0,24.25,0.0,0.0123,,,,,
53,01/06/19 08:06:57 AM,0.0,0.0,24.26,0.0,0.0123,,,,,
54,01/06/19 08:07:12 AM,0.0,0.0,24.27,0.0,0.0123,,,,,
55,01/06/19 08:07:27 AM,0.0,0.0,24.26,0.0,0.0123,,,,,
56,01/06/19 08:07:42 AM,0.0,0.0,24.25,0.0,0.0123,,,,,
57,01/06/19 08:07:57 AM,0.0,0.0,24.21,0.0,0.0123,,,,,
58,01/06/19 08:08:12 AM,0.0,0.0,24.47,0.0,0.0123,,,,,
59,01/06/19 08:08:27 AM,0.0,0.0,24.49,0.0,0.0123,,,,,
60,01/06/19 08:08:42 AM,0.0,0.0,24.49,0.0,0.0123,,,,,
61,01/06/19 08:08:57 AM,0.0,0.0,24.49,0.0,0.0123,,,,,
62,01/06/19 08:09:12 AM,0.0,0.0,24.50,0.0,0.0123,,,,,
63,01/06/19 08:09:27 AM,0.0,0.0,24.51,0.0,0.0123,,,,,
64,01/06/19 08:09:42 AM,0.0,0.0,24.62,0.0,0.0123,,,,,
65,01/06/19 08:09:57 AM,0.0,0.0,24.60,0.0,0.0123,,,,,
66,01/06/19 08:10:12 AM,0.0,0.0,24.59,0.0,0.0123,,,,,
67,01/06/19 08:10:27 AM,0.0,0.0,24.59,0.0,0.0123,,,,,
68,01/06/19 08:10:42 AM,0.0,0.0,24.60,0.0,0.0123,,,,,
69,01/06/19 08:10:57 AM,0.0,0.0,24.62,0.0,0.0123,,,,,
70,01/06/19 08:11:12 AM,0.0,0.0,24.64,0.0,0.0123,,,,,
71,01/06/19 08:11:27 AM,0.0,0.0,24.65,0.0,0.0123,,,,,
72,01/06/19 08:11:42 AM,0.0,0.0,24.66,0.0,0.0123,,,,,
73,01/06/19 08:11:57 AM,0.0,0.0,24.67,0.0,0.0123,,,,,
74,01/06/19 08:12:12 AM,0.0,0.0,24.68,0.0,0.0123,,,,,
75,01/06/19 08:12:27 AM,0.0,0.0,24.71,0.0,0.0123,,,,,
76,01/06/19 08:12:42 AM,0.0,0.0,24.72,0.0,0.0123,,,,,
77,01/06/19 08:12:57 AM,0.0,0.0,24.72,0.0,0.0123,,,,,
78,01/06/19 08:13:12 AM,0.0,0.0,24.74,0.0,0.0123,,,,,
79,01/06/19 08:13:27 AM,0.0,0.0,24.74,0.0,0.0123,,,,,
80,01/06/19 08:13:42 AM,0.0,0.0,24.76,0.0,0.0123,,,,,
81,01/06/19 08:13:57 AM,0.0,0.0,24.77,0.0,0.0123,,,,,
82,01/06/19 08:14:12 AM,0.0,0.0,24.79,0.0,0.0123,,,,,
83,01/06/19 08:14:27 AM,0.0,0.0,24.80,0.0,0.0123,,,,,
84,01/06/19 08:14:42 AM,0.0,0.0,24.81,0.0,0.0123,,,,,
85,01/06/19 08:14:57 AM,0.0,0.0,24.82,0.0,0.0123,,,,,
86,01/06/19 08:15:12 AM,0.0,0.0,24.83,0.0,0.0123,,,,,
87,01/06/19 08:15:27 AM,0.0,0.0,24.84,0.0,0.0123,,,,,
88,01/06/19 08:15:42 AM,0.0,0.0,24.85,0.0,0.0123,,,,,
89,01/06/19 08:15:57 AM,0.0,0.0,24.87,0.0,0.0123,,,,,
90,01/06/19 08:16:12 AM,0.0,0.0,24.88,0.0,0.0123,,,,,
91,01/06/19 08:16:27 AM,0.0,0.0,24.88,0.0,0.0123,,,,,
92,01/06/19 08:16:42 AM,0.0,0.0,24.89,0.0,0.0123,,,,,
93,01/06/19 08:16:57 AM,0.0,0.0,24.90,0.0,0.0123,,,,,
94,01/06/19 08:17:12 AM,0.0,0.0,24.91,0.0,0.0123,,,,,
95,01/06/19 08:17:27 AM,0.0,0.0,24.92,0.0,0.0123,,,,,
96,01/06/19 08:17:42 AM,0.0,0.0,24.93,0.0,0.0123,,,,,
97,01/06/19 08:17:57 AM,0.0,0.0,24.93,0.0,0.0123,,,,,
98,01/06/19 08:18:12 AM,0.0,0.0,24.95,0.0,0.0123,,,,,
99,01/06/19 08:18:27 AM,0.0,0.0,24.96,0.0,0.0123,,,,,
100,01/06/19 08:18:42 AM,0.0,0.0,24.97,0.0,0.0123,,,,,
101,01/06/19 08:18:57 AM,0.0,0.0,24.97,0.0,0.0123,,,,,
102,01/06/19 08:19:12 AM,0.0,0.0,24.98,0.0,0.0123,,,,,
103,01/06/19 08:19:27 AM,0.0,0.0,24.98,0.0,0.0123,,,,,
104,01/06/19 08:19:42 AM,0.0,0.0,25.00,0.0,0.0123,,,,,
105,01/06/19 08:19:57 AM,0.0,0.0,25.01,0.0,0.0123,,,,,
106,01/06/19 08:20:12 AM,0.0,0.0,25.01,0.0,0.0123,,,,,
107,01/06/19 08:20:27 AM,0.0,0.0,25.03,0.0,0.0123,,,,,
108,01/06/19 08:20:42 AM,0.0,0.0,25.04,0.0,0.0123,,,,,
109,01/06/19 08:20:57 AM,0.0,0.0,25.05,0.0,0.0123,,,,,
110,01/06/19 08:21:12 AM,0.0,0.0,25.05,0.0,0.0123,,,,,
111,01/06/19 08:21:27 AM,0.0,0.0,25.05,0.0,0.0123,,,,,
112,01/06/19 08:21:42 AM,0.0,0.0,25.06,0.0,0.0123,,,,,
113,01/06/19 08:21:57 AM,0.0,0.0,25.07,0.0,0.0123,,,,,
114,01/06/19 08:22:12 AM,0.0,0.0,25.07,0.0,0.0123,,,,,
115,01/06/19 08:22:27 AM,0.0,0.0,25.08,0.0,0.0123,,,,,
116,01/06/19 08:22:42 AM,0.0,0.0,25.08,0.0,0.0123,,,,,
117,01/06/19 08:22:57 AM,0.0,0.0,25.09,0.0,0.0123,,,,,
118,01/06/19 08:23:12 AM,0.0,0.0,25.09,0.0,0.0123,,,,,
119,01/06/19 08:23:27 AM,0.0,0.0,25.11,0.0,0.0123,,,,,
120,01/06/19 08:23:42 AM,0.0,0.0,25.11,0.0,0.0123,,,,,
121,01/06/19 08:23:57 AM,0.0,0.0,25.12,0.0,0.0123,,,,,
122,01/06/19 08:24:12 AM,0.0,0.0,25.13,0.0,0.0123,,,,,
123,01/06/19 08:24:27 AM,0.0,0.0,25.14,0.0,0.0123,,,,,
124,01/06/19 08:24:42 AM,0.0,0.0,25.13,0.0,0.0123,,,,,
125,01/06/19 08:24:57 AM,0.0,0.0,25.14,0.0,0.0123,,,,,
126,01/06/19 08:25:12 AM,0.0,0.0,25.15,0.0,0.0123,,,,,
127,01/06/19 08:25:27 AM,0.0,0.0,25.15,0.0,0.0123,,,,,
128,01/06/19 08:25:42 AM,0.0,0.0,25.15,0.0,0.0123,,,,,
129,01/06/19 08:25:57 AM,0.0,0.0,25.15,0.0,0.0123,,,,,
130,01/06/19 08:26:12 AM,0.0,0.0,25.16,0.0,0.0123,,,,,
131,01/06/19 08:26:27 AM,0.0,0.0,25.16,0.0,0.0123,,,,,
132,01/06/19 08:26:42 AM,0.0,0.0,25.17,0.0,0.0123,,,,,
133,01/06/19 08:26:57 AM,0.0,0.0,25.17,0.0,0.0123,,,,,
134,01/06/19 08:27:12 AM,0.0,0.0,25.18,0.0,0.0123,,,,,
135,01/06/19 08:27:27 AM,0.0,0.0,25.18,0.0,0.0123,,,,,
136,01/06/19 08:27:42 AM,0.0,0.0,25.20,0.0,0.0123,,,,,
137,01/06/19 08:27:57 AM,0.0,0.0,25.20,0.0,0.0123,,,,,
138,01/06/19 08:28:12 AM,0.0,0.0,25.20,0.0,0.0123,,,,,
139,01/06/19 08:28:27 AM,0.0,0.0,25.20,0.0,0.0123,,,,,
140,01/06/19 08:28:42 AM,0.0,0.0,25.21,0.0,0.0123,,,,,
141,01/06/19 08:28:57 AM,0.0,0.0,25.20,0.0,0.0123,,,,,
142,01/06/19 08:29:12 AM,0.0,0.0,25.22,0.0,0.0123,,,,,
143,01/06/19 08:29:27 AM,0.0,0.0,25.22,0.0,0.0123,,,,,
144,01/06/19 08:29:42 AM,0.0,0.0,25.22,0.0,0.0123,,,,,
145,01/06/19 08:29:57 AM,0.0,0.0,25.22,0.0,0.0123,,,,,
146,01/06/19 08:30:12 AM,0.0,0.0,25.22,0.0,0.0123,,,,,
147,01/06/19 08:30:27 AM,0.0,0.0,25.23,0.0,0.0123,,,,,
148,01/06/19 08:30:42 AM,0.0,0.0,25.23,0.0,0.0123,,,,,
149,01/06/19 08:30:57 AM,0.0,0.0,25.23,0.0,0.0123,,,,,
150,01/06/19 08:31:12 AM,0.0,0.0,25.24,0.0,0.0123,,,,,
151,01/06/19 08:31:27 AM,0.0,0.0,25.24,0.0,0.0123,,,,,
152,01/06/19 08:31:42 AM,0.0,0.0,25.24,0.0,0.0123,,,,,
153,01/06/19 08:31:57 AM,0.0,0.0,25.25,0.0,0.0123,,,,,
154,01/06/19 08:32:12 AM,0.0,0.0,25.25,0.0,0.0123,,,,,
155,01/06/19 08:32:27 AM,0.0,0.0,25.26,0.0,0.0123,,,,,
156,01/06/19 08:32:42 AM,0.0,0.0,25.26,0.0,0.0123,,,,,
157,01/06/19 08:32:57 AM,0.0,0.0,25.26,0.0,0.0123,,,,,
158,01/06/19 08:33:12 AM,0.0,0.0,25.28,0.0,0.0123,,,,,
159,01/06/19 08:33:27 AM,0.0,0.0,25.28,0.0,0.0123,,,,,
160,01/06/19 08:33:42 AM,0.0,0.0,25.29,0.0,0.0123,,,,,
161,01/06/19 08:33:57 AM,0.0,0.0,25.29,0.0,0.0123,,,,,
162,01/06/19 08:34:12 AM,0.0,0.0,25.29,0.0,0.0123,,,,,
163,01/06/19 08:34:27 AM,0.0,0.0,25.31,0.0,0.0123,,,,,
164,01/06/19 08:34:42 AM,0.0,0.0,25.33,0.0,0.0123,,,,,
165,01/06/19 08:34:57 AM,0.0,0.0,25.36,0.0,0.0123,,,,,
166,01/06/19 08:35:12 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
167,01/06/19 08:35:27 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
168,01/06/19 08:35:42 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
169,01/06/19 08:35:57 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
170,01/06/19 08:36:12 AM,0.0,0.0,25.36,0.0,0.0123,,,,,
171,01/06/19 08:36:27 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
172,01/06/19 08:36:42 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
173,01/06/19 08:36:57 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
174,01/06/19 08:37:12 AM,0.0,0.0,25.37,0.0,0.0123,,,,,
175,01/06/19 08:37:27 AM,0.0,0.0,25.38,0.0,0.0123,,,,,
176,01/06/19 08:37:42 AM,0.0,0.0,25.39,0.0,0.0123,,,,,
177,01/06/19 08:37:57 AM,0.0,0.0,25.40,0.0,0.0123,,,,,
178,01/06/19 08:38:12 AM,0.0,0.0,25.40,0.0,0.0123,,,,,
179,01/06/19 08:38:27 AM,0.0,0.0,25.41,0.0,0.0123,,,,,
180,01/06/19 08:38:42 AM,0.0,0.0,25.41,0.0,0.0123,,,,,
181,01/06/19 08:38:57 AM,0.0,0.0,25.42,0.0,0.0123,,,,,
182,01/06/19 08:39:12 AM,0.0,0.0,25.44,0.0,0.0123,,,,,
183,01/06/19 08:39:27 AM,0.0,0.0,25.45,0.0,0.0123,,,,,
184,01/06/19 08:39:42 AM,0.0,0.0,25.46,0.0,0.0123,,,,,
185,01/06/19 08:39:57 AM,0.0,0.0,25.47,0.0,0.0123,,,,,
186,01/06/19 08:40:12 AM,0.0,0.0,25.48,0.0,0.0123,,,,,
187,01/06/19 08:40:27 AM,0.0,0.0,25.48,0.0,0.0123,,,,,
188,01/06/19 08:40:42 AM,0.0,0.0,25.49,0.0,0.0123,,,,,
189,01/06/19 08:40:57 AM,0.0,0.0,25.50,0.0,0.0123,,,,,
190,01/06/19 08:41:12 AM,0.0,0.0,25.50,0.0,0.0123,,,,,
191,01/06/19 08:41:27 AM,0.0,0.0,25.52,0.0,0.0123,,,,,
192,01/06/19 08:41:42 AM,0.0,0.0,25.52,0.0,0.0123,,,,,
193,01/06/19 08:41:57 AM,0.0,0.0,25.53,0.0,0.0123,,,,,
194,01/06/19 08:42:12 AM,0.0,0.0,25.53,0.0,0.0123,,,,,
195,01/06/19 08:42:27 AM,0.0,0.0,25.53,0.0,0.0123,,,,,
196,01/06/19 08:42:42 AM,0.0,0.0,25.53,0.0,0.0123,,,,,
197,01/06/19 08:42:57 AM,0.0,0.0,25.54,0.0,0.0123,,,,,
