"Plot Title: SN_740"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20494740, SEN S/N: 20494740, LBL: <Conduct_Hi>55,000)","Temp, °C (LGR S/N: 20494740, SEN S/N: 20494740, LBL: Temperature)","Specific Conductance, μS/cm (LGR S/N: 20494740)","Salinity, ppt (LGR S/N: 20494740)","Coupler Detached (LGR S/N: 20494740)","Coupler Attached (LGR S/N: 20494740)","Host Connected (LGR S/N: 20494740)","Stopped (LGR S/N: 20494740)","End Of File (LGR S/N: 20494740)"
78,01/06/19 08:21:43 AM,0.0,25.16,0.0,0.0123,,,,,
79,01/06/19 08:21:58 AM,0.0,25.17,0.0,0.0123,,,,,
80,01/06/19 08:22:13 AM,0.0,25.17,0.0,0.0123,,,,,
81,01/06/19 08:22:28 AM,0.0,25.17,0.0,0.0123,,,,,
82,01/06/19 08:22:43 AM,0.0,25.18,0.0,0.0123,,,,,
83,01/06/19 08:22:58 AM,0.0,25.18,0.0,0.0123,,,,,
84,01/06/19 08:23:13 AM,0.0,25.18,0.0,0.0123,,,,,
85,01/06/19 08:23:28 AM,0.0,25.18,0.0,0.0123,,,,,
86,01/06/19 08:23:43 AM,0.0,25.19,0.0,0.0123,,,,,
87,01/06/19 08:23:58 AM,0.0,25.19,0.0,0.0123,,,,,
88,01/06/19 08:24:13 AM,0.0,25.19,0.0,0.0123,,,,,
89,01/06/19 08:24:28 AM,0.0,25.21,0.0,0.0123,,,,,
90,01/06/19 08:24:43 AM,0.0,25.21,0.0,0.0123,,,,,
91,01/06/19 08:24:58 AM,0.0,25.21,0.0,0.0123,,,,,
92,01/06/19 08:25:13 AM,0.0,25.21,0.0,0.0123,,,,,
93,01/06/19 08:25:28 AM,0.0,25.21,0.0,0.0123,,,,,
94,01/06/19 08:25:43 AM,0.0,25.21,0.0,0.0123,,,,,
95,01/06/19 08:25:58 AM,0.0,25.22,0.0,0.0123,,,,,
96,01/06/19 08:26:13 AM,0.0,25.22,0.0,0.0123,,,,,
97,01/06/19 08:26:28 AM,0.0,25.22,0.0,0.0123,,,,,
98,01/06/19 08:26:43 AM,0.0,25.23,0.0,0.0123,,,,,
99,01/06/19 08:26:58 AM,0.0,25.23,0.0,0.0123,,,,,
100,01/06/19 08:27:13 AM,0.0,25.23,0.0,0.0123,,,,,
101,01/06/19 08:27:28 AM,0.0,25.24,0.0,0.0123,,,,,
102,01/06/19 08:27:43 AM,0.0,25.24,0.0,0.0123,,,,,
103,01/06/19 08:27:58 AM,0.0,25.24,0.0,0.0123,,,,,
104,01/06/19 08:28:13 AM,0.0,25.25,0.0,0.0123,,,,,
105,01/06/19 08:28:28 AM,0.0,25.25,0.0,0.0123,,,,,
106,01/06/19 08:28:43 AM,0.0,25.25,0.0,0.0123,,,,,
107,01/06/19 08:28:58 AM,0.0,25.25,0.0,0.0123,,,,,
108,01/06/19 08:29:13 AM,0.0,25.25,0.0,0.0123,,,,,
109,01/06/19 08:29:28 AM,0.0,25.26,0.0,0.0123,,,,,
110,01/06/19 08:29:43 AM,0.0,25.26,0.0,0.0123,,,,,
111,01/06/19 08:29:58 AM,0.0,25.26,0.0,0.0123,,,,,
112,01/06/19 08:30:13 AM,0.0,25.27,0.0,0.0123,,,,,
113,01/06/19 08:30:28 AM,0.0,25.26,0.0,0.0123,,,,,
114,01/06/19 08:30:43 AM,0.0,25.27,0.0,0.0123,,,,,
115,01/06/19 08:30:58 AM,0.0,25.27,0.0,0.0123,,,,,
116,01/06/19 08:31:13 AM,0.0,25.28,0.0,0.0123,,,,,
117,01/06/19 08:31:28 AM,0.0,25.28,0.0,0.0123,,,,,
118,01/06/19 08:31:43 AM,0.0,25.28,0.0,0.0123,,,,,
119,01/06/19 08:31:58 AM,0.0,25.30,0.0,0.0123,,,,,
120,01/06/19 08:32:13 AM,0.0,25.30,0.0,0.0123,,,,,
121,01/06/19 08:32:28 AM,0.0,25.30,0.0,0.0123,,,,,
122,01/06/19 08:32:43 AM,0.0,25.31,0.0,0.0123,,,,,
123,01/06/19 08:32:58 AM,0.0,25.31,0.0,0.0123,,,,,
124,01/06/19 08:33:13 AM,0.0,25.32,0.0,0.0123,,,,,
125,01/06/19 08:33:28 AM,0.0,25.32,0.0,0.0123,,,,,
126,01/06/19 08:33:43 AM,0.0,25.32,0.0,0.0123,,,,,
127,01/06/19 08:33:58 AM,0.0,25.32,0.0,0.0123,,,,,
128,01/06/19 08:34:13 AM,0.0,25.33,0.0,0.0123,,,,,
129,01/06/19 08:34:28 AM,0.0,25.33,0.0,0.0123,,,,,
130,01/06/19 08:34:43 AM,0.0,25.31,0.0,0.0123,,,,,
131,01/06/19 08:34:58 AM,0.0,25.31,0.0,0.0123,,,,,
132,01/06/19 08:35:13 AM,0.0,25.30,0.0,0.0123,,,,,
133,01/06/19 08:35:28 AM,0.0,25.32,0.0,0.0123,,,,,
134,01/06/19 08:35:43 AM,0.0,25.35,0.0,0.0123,,,,,
135,01/06/19 08:35:58 AM,0.0,25.40,0.0,0.0123,,,,,
136,01/06/19 08:36:13 AM,0.0,25.43,0.0,0.0123,,,,,
137,01/06/19 08:36:28 AM,0.0,25.45,0.0,0.0123,,,,,
138,01/06/19 08:36:43 AM,0.0,25.45,0.0,0.0123,,,,,
139,01/06/19 08:36:58 AM,0.0,25.47,0.0,0.0123,,,,,
140,01/06/19 08:37:13 AM,0.0,25.50,0.0,0.0123,,,,,
141,01/06/19 08:37:28 AM,0.0,25.52,0.0,0.0123,,,,,
142,01/06/19 08:37:43 AM,0.0,25.57,0.0,0.0123,,,,,
143,01/06/19 08:37:58 AM,0.0,25.63,0.0,0.0123,,,,,
144,01/06/19 08:38:13 AM,0.0,25.65,0.0,0.0123,,,,,
145,01/06/19 08:38:28 AM,0.0,25.61,0.0,0.0123,,,,,
146,01/06/19 08:38:43 AM,0.0,25.60,0.0,0.0123,,,,,
147,01/06/19 08:38:58 AM,0.0,25.59,0.0,0.0123,,,,,
148,01/06/19 08:39:13 AM,0.0,25.59,0.0,0.0123,,,,,
149,01/06/19 08:39:28 AM,0.0,25.59,0.0,0.0123,,,,,
150,01/06/19 08:39:43 AM,0.0,25.60,0.0,0.0123,,,,,
151,01/06/19 08:39:58 AM,0.0,25.60,0.0,0.0123,,,,,
152,01/06/19 08:40:13 AM,0.0,25.59,0.0,0.0123,,,,,
153,01/06/19 08:40:28 AM,0.0,25.59,0.0,0.0123,,,,,
154,01/06/19 08:40:43 AM,0.0,25.59,0.0,0.0123,,,,,
155,01/06/19 08:40:58 AM,0.0,25.59,0.0,0.0123,,,,,
156,01/06/19 08:41:13 AM,0.0,25.60,0.0,0.0123,,,,,
157,01/06/19 08:41:28 AM,0.0,25.61,0.0,0.0123,,,,,
158,01/06/19 08:41:43 AM,0.0,25.61,0.0,0.0123,,,,,
159,01/06/19 08:41:58 AM,0.0,25.62,0.0,0.0123,,,,,
160,01/06/19 08:42:13 AM,0.0,25.62,0.0,0.0123,,,,,
161,01/06/19 08:42:28 AM,0.0,25.63,0.0,0.0123,,,,,
162,01/06/19 08:42:43 AM,0.0,25.63,0.0,0.0123,,,,,
163,01/06/19 08:42:58 AM,0.0,25.65,0.0,0.0123,,,,,
164,01/06/19 08:43:13 AM,0.0,25.65,0.0,0.0123,,,,,
165,01/06/19 08:43:28 AM,0.0,25.65,0.0,0.0123,,,,,
166,01/06/19 08:43:43 AM,0.0,25.66,0.0,0.0123,,,,,
167,01/06/19 08:43:58 AM,0.0,25.66,0.0,0.0123,,,,,
168,01/06/19 08:44:13 AM,0.0,25.66,0.0,0.0123,,,,,
169,01/06/19 08:44:28 AM,0.0,25.66,0.0,0.0123,,,,,
170,01/06/19 08:44:43 AM,0.0,25.66,0.0,0.0123,,,,,
171,01/06/19 08:44:58 AM,0.0,25.67,0.0,0.0123,,,,,
172,01/06/19 08:45:13 AM,0.0,25.67,0.0,0.0123,,,,,
173,01/06/19 08:45:28 AM,0.0,25.67,0.0,0.0123,,,,,
174,01/06/19 08:45:43 AM,0.0,25.68,0.0,0.0123,,,,,
175,01/06/19 08:45:58 AM,0.0,25.68,0.0,0.0123,,,,,
176,01/06/19 08:46:13 AM,0.0,25.69,0.0,0.0123,,,,,
177,01/06/19 08:46:28 AM,0.0,25.70,0.0,0.0123,,,,,
178,01/06/19 08:46:43 AM,0.0,25.70,0.0,0.0123,,,,,
179,01/06/19 08:46:58 AM,0.0,25.70,0.0,0.0123,,,,,
180,01/06/19 08:47:13 AM,0.0,25.70,0.0,0.0123,,,,,
181,01/06/19 08:47:28 AM,0.0,25.70,0.0,0.0123,,,,,
182,01/06/19 08:47:43 AM,0.0,25.71,0.0,0.0123,,,,,
183,01/06/19 08:47:58 AM,0.0,25.71,0.0,0.0123,,,,,
184,01/06/19 08:48:13 AM,0.0,25.71,0.0,0.0123,,,,,
185,01/06/19 08:48:28 AM,0.0,25.71,0.0,0.0123,,,,,
186,01/06/19 08:48:43 AM,0.0,25.71,0.0,0.0123,,,,,
187,01/06/19 08:48:58 AM,0.0,25.71,0.0,0.0123,,,,,
188,01/06/19 08:49:13 AM,0.0,25.71,0.0,0.0123,,,,,
189,01/06/19 08:49:28 AM,0.0,25.72,0.0,0.0123,,,,,
190,01/06/19 08:49:43 AM,0.0,25.72,0.0,0.0123,,,,,
191,01/06/19 08:49:58 AM,0.0,25.72,0.0,0.0123,,,,,
192,01/06/19 08:50:13 AM,0.0,25.72,0.0,0.0123,,,,,
193,01/06/19 08:50:28 AM,0.0,25.71,0.0,0.0123,,,,,
194,01/06/19 08:50:43 AM,0.0,25.74,0.0,0.0123,,,,,
195,01/06/19 08:50:58 AM,0.0,25.74,0.0,0.0123,,,,,
196,01/06/19 08:51:13 AM,0.0,25.72,0.0,0.0123,,,,,
197,01/06/19 08:51:28 AM,0.0,25.72,0.0,0.0123,,,,,
198,01/06/19 08:51:43 AM,0.0,25.71,0.0,0.0123,,,,,
199,01/06/19 08:51:58 AM,0.0,25.71,0.0,0.0123,,,,,
200,01/06/19 08:52:13 AM,0.0,25.71,0.0,0.0123,,,,,
201,01/06/19 08:52:28 AM,0.0,25.71,0.0,0.0123,,,,,
202,01/06/19 08:52:43 AM,0.0,25.71,0.0,0.0123,,,,,
203,01/06/19 08:52:58 AM,0.0,25.71,0.0,0.0123,,,,,
204,01/06/19 08:53:13 AM,0.0,25.71,0.0,0.0123,,,,,
205,01/06/19 08:53:28 AM,0.0,25.71,0.0,0.0123,,,,,
206,01/06/19 08:53:43 AM,0.0,25.71,0.0,0.0123,,,,,
207,01/06/19 08:53:58 AM,0.0,25.71,0.0,0.0123,,,,,
208,01/06/19 08:54:13 AM,0.0,25.71,0.0,0.0123,,,,,
209,01/06/19 08:54:28 AM,0.0,25.71,0.0,0.0123,,,,,
210,01/06/19 08:54:43 AM,0.0,25.71,0.0,0.0123,,,,,
211,01/06/19 08:54:58 AM,0.0,25.71,0.0,0.0123,,,,,
212,01/06/19 08:55:13 AM,0.0,25.71,0.0,0.0123,,,,,
213,01/06/19 08:55:28 AM,0.0,25.71,0.0,0.0123,,,,,
214,01/06/19 08:55:43 AM,0.0,25.71,0.0,0.0123,,,,,
215,01/06/19 08:55:58 AM,0.0,25.71,0.0,0.0123,,,,,
216,01/06/19 08:56:13 AM,0.0,25.71,0.0,0.0123,,,,,
217,01/06/19 08:56:28 AM,0.0,25.71,0.0,0.0123,,,,,
218,01/06/19 08:56:43 AM,0.0,25.71,0.0,0.0123,,,,,
219,01/06/19 08:56:58 AM,0.0,25.71,0.0,0.0123,,,,,
220,01/06/19 08:57:13 AM,0.0,25.71,0.0,0.0123,,,,,
221,01/06/19 08:57:28 AM,0.0,25.71,0.0,0.0123,,,,,
222,01/06/19 08:57:43 AM,0.0,25.71,0.0,0.0123,,,,,
223,01/06/19 08:57:58 AM,0.0,25.71,0.0,0.0123,,,,,
224,01/06/19 08:58:13 AM,0.0,25.71,0.0,0.0123,,,,,
225,01/06/19 08:58:28 AM,0.0,25.71,0.0,0.0123,,,,,
226,01/06/19 08:58:43 AM,0.0,25.71,0.0,0.0123,,,,,
227,01/06/19 08:58:58 AM,0.0,25.71,0.0,0.0123,,,,,
228,01/06/19 08:59:13 AM,0.0,25.71,0.0,0.0123,,,,,
229,01/06/19 08:59:28 AM,0.0,25.72,0.0,0.0123,,,,,
230,01/06/19 08:59:43 AM,0.0,25.72,0.0,0.0123,,,,,
231,01/06/19 08:59:58 AM,0.0,25.71,0.0,0.0123,,,,,
232,01/06/19 09:00:13 AM,0.0,25.71,0.0,0.0123,,,,,
233,01/06/19 09:00:28 AM,0.0,25.72,0.0,0.0123,,,,,
234,01/06/19 09:00:43 AM,0.0,25.72,0.0,0.0123,,,,,
235,01/06/19 09:00:58 AM,0.0,25.72,0.0,0.0123,,,,,
236,01/06/19 09:01:13 AM,0.0,25.72,0.0,0.0123,,,,,
237,01/06/19 09:01:28 AM,0.0,25.72,0.0,0.0123,,,,,
238,01/06/19 09:01:43 AM,0.0,25.72,0.0,0.0123,,,,,
239,01/06/19 09:01:58 AM,0.0,25.72,0.0,0.0123,,,,,
240,01/06/19 09:02:13 AM,0.0,25.72,0.0,0.0123,,,,,
241,01/06/19 09:02:28 AM,0.0,25.72,0.0,0.0123,,,,,
242,01/06/19 09:02:43 AM,0.0,25.72,0.0,0.0123,,,,,
243,01/06/19 09:02:58 AM,0.0,25.72,0.0,0.0123,,,,,
244,01/06/19 09:03:13 AM,0.0,25.72,0.0,0.0123,,,,,
245,01/06/19 09:03:28 AM,0.0,25.74,0.0,0.0123,,,,,
246,01/06/19 09:03:43 AM,0.0,25.72,0.0,0.0123,,,,,
247,01/06/19 09:03:58 AM,0.0,25.72,0.0,0.0123,,,,,
248,01/06/19 09:04:13 AM,0.0,25.74,0.0,0.0123,,,,,
249,01/06/19 09:04:28 AM,0.0,25.74,0.0,0.0123,,,,,
250,01/06/19 09:04:43 AM,0.0,25.74,0.0,0.0123,,,,,
251,01/06/19 09:04:58 AM,0.0,25.74,0.0,0.0123,,,,,
252,01/06/19 09:05:13 AM,0.0,25.72,0.0,0.0123,,,,,
253,01/06/19 09:05:28 AM,0.0,25.74,0.0,0.0123,,,,,
254,01/06/19 09:05:43 AM,0.0,25.74,0.0,0.0123,,,,,
255,01/06/19 09:05:58 AM,0.0,25.74,0.0,0.0123,,,,,
256,01/06/19 09:06:13 AM,0.0,25.74,0.0,0.0123,,,,,
257,01/06/19 09:06:28 AM,0.0,25.74,0.0,0.0123,,,,,
258,01/06/19 09:06:43 AM,0.0,25.74,0.0,0.0123,,,,,
259,01/06/19 09:06:58 AM,0.0,25.74,0.0,0.0123,,,,,
260,01/06/19 09:07:13 AM,0.0,25.75,0.0,0.0123,,,,,
261,01/06/19 09:07:28 AM,0.0,25.75,0.0,0.0123,,,,,
262,01/06/19 09:07:43 AM,0.0,25.75,0.0,0.0123,,,,,
263,01/06/19 09:07:58 AM,0.0,25.75,0.0,0.0123,,,,,
264,01/06/19 09:08:13 AM,0.0,25.75,0.0,0.0123,,,,,
265,01/06/19 09:08:28 AM,0.0,25.75,0.0,0.0123,,,,,
266,01/06/19 09:08:43 AM,0.0,25.75,0.0,0.0123,,,,,
267,01/06/19 09:08:58 AM,0.0,25.75,0.0,0.0123,,,,,
268,01/06/19 09:09:13 AM,0.0,25.76,0.0,0.0123,,,,,
269,01/06/19 09:09:28 AM,0.0,25.76,0.0,0.0123,,,,,
270,01/06/19 09:09:43 AM,0.0,25.76,0.0,0.0123,,,,,
271,01/06/19 09:09:58 AM,0.0,25.76,0.0,0.0123,,,,,
272,01/06/19 09:10:13 AM,0.0,25.76,0.0,0.0123,,,,,
273,01/06/19 09:10:28 AM,0.0,25.76,0.0,0.0123,,,,,
274,01/06/19 09:10:43 AM,0.0,25.76,0.0,0.0123,,,,,
275,01/06/19 09:10:58 AM,0.0,25.77,0.0,0.0123,,,,,
276,01/06/19 09:11:13 AM,0.0,25.77,0.0,0.0123,,,,,
277,01/06/19 09:11:28 AM,0.0,25.77,0.0,0.0123,,,,,
