"","lon","lat","elevation","time","temperature","Salinity"
"29",-149.8139393795,-17.483239593,"12.15",2019-01-06 11:05:13,30.74,35.9402
"30",-149.8139274772,-17.4832512438,"9.75",2019-01-06 11:05:28,30.74,35.9238
"31",-149.8139406368,-17.4832387548,"5.91",2019-01-06 11:05:43,30.75,35.9164
"32",-149.8139194306,-17.4832379166,"14.08",2019-01-06 11:05:58,30.78,35.8833
"33",-149.8138953745,-17.4832425267,"11.19",2019-01-06 11:06:13,30.9,35.9313
"34",-149.8138921894,-17.483236827,"12.15",2019-01-06 11:06:28,30.92,35.8728
"35",-149.8138857353,-17.4832390901,"11.67",2019-01-06 11:06:43,30.92,35.9056
"36",-149.8138524592,-17.4832531717,"11.67",2019-01-06 11:06:58,30.97,35.7926
"37",-149.8138083704,-17.4832626432,"12.15",2019-01-06 11:07:13,30.98,35.7526
"38",-149.8137748428,-17.4832545966,"12.15",2019-01-06 11:07:28,30.97,35.8579
"39",-149.8137634434,-17.4832285289,"12.63",2019-01-06 11:07:43,30.97,35.8198
"40",-149.8137363698,-17.4832234159,"12.63",2019-01-06 11:07:58,30.99,35.7724
"41",-149.8137103021,-17.4832036346,"12.63",2019-01-06 11:08:13,31,35.7542
"42",-149.8136861622,-17.4831987731,"12.63",2019-01-06 11:08:28,31.01,35.7361
"43",-149.813647354,-17.4832079932,"12.15",2019-01-06 11:08:43,31.01,35.7415
"44",-149.8136107251,-17.4832027126,"12.15",2019-01-06 11:08:58,30.95,35.7366
"45",-149.8135903571,-17.4832038023,"12.15",2019-01-06 11:09:13,31,35.7162
"46",-149.8135815561,-17.4832214881,"12.63",2019-01-06 11:09:28,30.9,35.7299
"47",-149.8135414906,-17.4832393415,"12.15",2019-01-06 11:09:43,30.9,35.7245
"48",-149.8135140818,-17.483237749,"12.63",2019-01-06 11:09:58,30.97,35.7165
"49",-149.8134908639,-17.4832411017,"12.15",2019-01-06 11:10:13,31,35.6513
"50",-149.8134653829,-17.4832435325,"12.15",2019-01-06 11:10:28,31.02,35.7125
"51",-149.8134439252,-17.4832407665,"12.15",2019-01-06 11:10:43,31.03,35.6131
"52",-149.8134212941,-17.4832283612,"12.15",2019-01-06 11:10:58,31.07,35.5732
"53",-149.8134026024,-17.4832270201,"12.63",2019-01-06 11:11:13,31.07,35.5624
"54",-149.8133706674,-17.4832179677,"12.63",2019-01-06 11:11:28,31.07,35.5193
"55",-149.8133380618,-17.4832047243,"12.15",2019-01-06 11:11:43,31.07,35.6164
"56",-149.8133190349,-17.4832052272,"12.15",2019-01-06 11:11:58,31.03,35.5969
"57",-149.8132865969,-17.4832105078,"12.63",2019-01-06 11:12:13,31.06,35.5481
"58",-149.8132513091,-17.4832123518,"12.15",2019-01-06 11:12:28,31,35.6026
"59",-149.8132270854,-17.4832126871,"12.63",2019-01-06 11:12:43,31.01,35.5199
"60",-149.8132033646,-17.483211346,"12.63",2019-01-06 11:12:58,31.02,35.5126
"61",-149.8131867684,-17.4832044728,"12.63",2019-01-06 11:13:13,31.06,35.5319
"62",-149.8131524865,-17.4832061492,"12.15",2019-01-06 11:13:28,31.04,35.5465
"63",-149.8131243233,-17.4832046404,"12.63",2019-01-06 11:13:43,31.06,35.5535
"64",-149.8130947351,-17.483193744,"12.63",2019-01-06 11:13:58,31.07,35.4171
"65",-149.8130861018,-17.4831896368,"12.15",2019-01-06 11:14:13,31.04,35.4013
"66",-149.813064225,-17.4832061492,"12.63",2019-01-06 11:14:28,31.03,35.4033
"67",-149.8130368162,-17.4832068197,"12.15",2019-01-06 11:14:43,31.06,35.3226
"68",-149.8129959963,-17.4832091667,"12.63",2019-01-06 11:14:58,31.04,35.396
"69",-149.8129631393,-17.4831828475,"12.15",2019-01-06 11:15:13,31.01,35.3321
"70",-149.8129176255,-17.4831715319,"12.63",2019-01-06 11:15:28,31.01,35.3963
"71",-149.8128886241,-17.4831582885,"12.63",2019-01-06 11:15:43,30.97,35.3236
"72",-149.8128416017,-17.4831334781,"12.63",2019-01-06 11:15:58,30.9,35.0607
"73",-149.8128379975,-17.4831395131,"12.63",2019-01-06 11:16:13,30.88,34.9697
"74",-149.812812265,-17.4831426144,"12.63",2019-01-06 11:16:28,30.88,34.9539
"75",-149.8127801623,-17.4831433687,"12.15",2019-01-06 11:16:43,30.86,34.9157
"76",-149.812736325,-17.4831583723,"12.63",2019-01-06 11:16:58,30.85,34.9439
"77",-149.8126926553,-17.483170107,"12.15",2019-01-06 11:17:13,30.83,34.9424
"78",-149.8126632348,-17.4831657484,"12.15",2019-01-06 11:17:28,30.78,34.9258
"79",-149.8126178049,-17.4831697717,"12.63",2019-01-06 11:17:43,30.77,34.8229
"80",-149.8125734646,-17.4831678439,"12.63",2019-01-06 11:17:58,30.86,34.9419
"81",-149.8125501629,-17.4831584562,"12.63",2019-01-06 11:18:13,30.8,34.8328
"82",-149.8125079181,-17.4831505772,"12.63",2019-01-06 11:18:28,30.78,34.8209
"83",-149.8124823533,-17.4831437878,"13.12",2019-01-06 11:18:43,30.77,34.7863
"84",-149.8124481551,-17.4831374176,"13.12",2019-01-06 11:18:58,30.74,34.766
"85",-149.8124323133,-17.483131215,"13.12",2019-01-06 11:19:13,30.73,34.7784
"86",-149.8123964388,-17.483126102,"13.12",2019-01-06 11:19:28,30.71,34.8083
"87",-149.8123779986,-17.4831201509,"12.63",2019-01-06 11:19:43,30.71,34.8292
"88",-149.8123534396,-17.4831243418,"13.12",2019-01-06 11:19:58,30.69,34.7288
"89",-149.8123240191,-17.4831478111,"12.63",2019-01-06 11:20:13,30.67,34.743
"90",-149.812288899,-17.4831249285,"12.63",2019-01-06 11:20:28,30.74,34.7139
"91",-149.8122489173,-17.4831218272,"12.63",2019-01-06 11:20:43,30.72,34.7126
"92",-149.8122216761,-17.4831146188,"13.12",2019-01-06 11:20:58,30.63,34.7716
"93",-149.8121762462,-17.4831157923,"13.12",2019-01-06 11:21:13,30.58,34.7397
"94",-149.8121465743,-17.4831017107,"12.63",2019-01-06 11:21:28,30.58,34.6618
"95",-149.8120998032,-17.483086288,"13.12",2019-01-06 11:21:43,30.6,34.7098
"96",-149.812063342,-17.48307514,"13.12",2019-01-06 11:21:58,30.65,34.6326
"97",-149.812026713,-17.4830676802,"12.15",2019-01-06 11:22:13,30.69,34.5783
"98",-149.8119928502,-17.4830585439,"11.19",2019-01-06 11:22:28,30.72,34.5311
"99",-149.8119662795,-17.4830549397,"12.15",2019-01-06 11:22:43,30.69,34.5008
"100",-149.8119357694,-17.4830465578,"10.71",2019-01-06 11:22:58,30.64,34.4692
"101",-149.8119114619,-17.4830323923,"10.71",2019-01-06 11:23:13,30.9,34.4295
"102",-149.8118827958,-17.4830289558,"10.23",2019-01-06 11:23:28,30.48,34.5365
"103",-149.8118554708,-17.4830217473,"10.71",2019-01-06 11:23:43,31.2,34.3833
"104",-149.8118234519,-17.4830065761,"11.19",2019-01-06 11:23:58,31.33,34.3385
"105",-149.8117916007,-17.4829943385,"12.15",2019-01-06 11:24:13,31.19,34.38
"106",-149.8117511161,-17.4829743896,"12.15",2019-01-06 11:24:28,30.94,34.427
"107",-149.8117267247,-17.4829396885,"11.67",2019-01-06 11:24:43,30.89,34.3132
"108",-149.8116936162,-17.4829175603,"12.15",2019-01-06 11:24:58,30.76,34.4152
"109",-149.811662687,-17.4828933366,"12.15",2019-01-06 11:25:13,30.68,32.685
"110",-149.811627483,-17.4828711245,"12.63",2019-01-06 11:25:28,30.56,32.7178
"111",-149.8115998227,-17.4828677718,"12.63",2019-01-06 11:25:43,30.54,32.7456
"112",-149.8115729168,-17.4828768242,"12.63",2019-01-06 11:25:58,30.53,32.6902
"113",-149.811552465,-17.4828768242,"12.63",2019-01-06 11:26:13,30.53,32.6997
"114",-149.8115362879,-17.4828702025,"12.15",2019-01-06 11:26:28,30.6,32.6432
"115",-149.8115062807,-17.4828626588,"12.63",2019-01-06 11:26:43,30.63,32.5802
"116",-149.8114667181,-17.4828667659,"13.12",2019-01-06 11:26:58,30.63,32.6469
"117",-149.8114260659,-17.4828717951,"13.12",2019-01-06 11:27:13,30.69,32.621
"118",-149.8113900237,-17.4828888103,"12.63",2019-01-06 11:27:28,30.72,32.6009
"119",-149.8113445938,-17.4828956835,"12.63",2019-01-06 11:27:43,30.72,32.5628
"120",-149.8112980742,-17.4829011317,"12.15",2019-01-06 11:27:58,30.65,32.5668
"121",-149.8112593498,-17.4828921631,"12.63",2019-01-06 11:28:13,30.58,32.5947
"122",-149.8112228047,-17.4828824401,"12.63",2019-01-06 11:28:28,30.65,32.6002
"123",-149.8111961503,-17.4828663468,"13.12",2019-01-06 11:28:43,30.85,32.5712
"124",-149.8111751955,-17.4828484934,"13.12",2019-01-06 11:28:58,30.77,32.4773
"125",-149.8111410812,-17.4828313943,"13.12",2019-01-06 11:29:13,30.85,32.4667
"126",-149.8111188691,-17.4828126188,"13.60",2019-01-06 11:29:28,30.97,32.4107
"127",-149.8110872693,-17.4827987049,"13.60",2019-01-06 11:29:43,31,32.424
"128",-149.8110757861,-17.4827714637,"13.60",2019-01-06 11:29:58,31.02,32.4582
"129",-149.8110410012,-17.4827374332,"13.12",2019-01-06 11:30:13,30.94,32.4638
"130",-149.8110215552,-17.4827205017,"12.15",2019-01-06 11:30:28,30.95,32.4287
"131",-149.8110185377,-17.4826918356,"12.63",2019-01-06 11:30:43,30.9,32.4572
"132",-149.8110243212,-17.4826811906,"13.12",2019-01-06 11:30:58,30.77,32.4489
"133",-149.8110247403,-17.4826812744,"13.60",2019-01-06 11:31:13,30.75,32.4811
"134",-149.811022561,-17.482687477,"13.60",2019-01-06 11:31:28,30.69,32.4264
"135",-149.8110165261,-17.4827009719,"13.60",2019-01-06 11:31:43,30.71,32.4273
"136",-149.8110139277,-17.4826926738,"13.60",2019-01-06 11:31:58,30.72,32.4489
"137",-149.81101376,-17.4826905783,"13.60",2019-01-06 11:32:13,30.78,32.0155
"138",-149.8110366426,-17.4826905783,"14.56",2019-01-06 11:32:28,30.81,32.4364
"139",-149.8110303562,-17.4826913327,"14.08",2019-01-06 11:32:43,30.76,32.4035
"140",-149.8110213876,-17.4826942664,"14.08",2019-01-06 11:32:58,30.76,32.3799
"141",-149.8110177834,-17.4826921709,"14.08",2019-01-06 11:33:13,30.73,32.362
"142",-149.8110125028,-17.4826946855,"14.08",2019-01-06 11:33:28,30.78,32.3524
"143",-149.8110218067,-17.4826927576,"14.08",2019-01-06 11:33:43,30.78,32.3713
"144",-149.8110202979,-17.4827003013,"13.60",2019-01-06 11:33:58,30.81,32.3326
"145",-149.8110214714,-17.4826948531,"14.08",2019-01-06 11:34:13,30.77,32.3638
"146",-149.8110063002,-17.4827096052,"13.60",2019-01-06 11:34:28,30.77,32.3496
"147",-149.8110079765,-17.4826966133,"13.12",2019-01-06 11:34:43,30.78,32.3148
"148",-149.8110032827,-17.4826987088,"15.04",2019-01-06 11:34:58,30.78,32.2913
"149",-149.810998505,-17.4827027321,"15.04",2019-01-06 11:35:13,30.78,32.3101
"150",-149.8110026121,-17.4826957751,"14.56",2019-01-06 11:35:28,30.78,32.249
"151",-149.8110039532,-17.4826980382,"15.04",2019-01-06 11:35:43,30.77,32.1853
"152",-149.8109983373,-17.4827009719,"15.04",2019-01-06 11:35:58,30.78,32.2302
"153",-149.8110006005,-17.4827065878,"15.04",2019-01-06 11:36:13,30.81,32.2526
"154",-149.8109856807,-17.4826966971,"15.04",2019-01-06 11:36:28,30.8,32.217
"155",-149.810993392,-17.4827009719,"14.56",2019-01-06 11:36:43,30.8,32.1982
"156",-149.8110110778,-17.4826999661,"14.56",2019-01-06 11:36:58,30.8,32.1982
"157",-149.8110198788,-17.4826940987,"14.56",2019-01-06 11:37:13,30.78,32.2537
"158",-149.8110153526,-17.4827028997,"15.04",2019-01-06 11:37:28,30.77,32.19
"159",-149.8109616246,-17.4826947693,"15.04",2019-01-06 11:37:43,30.78,32.2067
"160",-149.8109154403,-17.4826686177,"15.04",2019-01-06 11:37:58,30.77,32.2837
"161",-149.8108540848,-17.4826594815,"15.04",2019-01-06 11:38:13,30.83,32.2582
"162",-149.8108226527,-17.4826614931,"15.04",2019-01-06 11:38:28,31.06,32.1771
"163",-149.8108176235,-17.4826657679,"15.04",2019-01-06 11:38:43,31.08,32.1827
"164",-149.8107992671,-17.482686555,"15.04",2019-01-06 11:38:58,31.07,31.9559
"165",-149.8107935674,-17.482689321,"15.04",2019-01-06 11:39:13,31.08,32.0797
"166",-149.8107924778,-17.4826848786,"14.56",2019-01-06 11:39:28,31.06,32.1958
"167",-149.8107962497,-17.4826830346,"15.04",2019-01-06 11:39:43,31.03,32.7765
"168",-149.8107982613,-17.4826859683,"15.04",2019-01-06 11:39:58,31.03,32.7236
"169",-149.8107927293,-17.4826801009,"15.04",2019-01-06 11:40:13,31.06,32.6317
"170",-149.8107812461,-17.4826909136,"15.04",2019-01-06 11:40:28,31.07,32.6059
"171",-149.8107760493,-17.4826960266,"14.56",2019-01-06 11:40:43,31.07,32.582
"172",-149.810777558,-17.4826904945,"13.12",2019-01-06 11:40:58,31.07,32.5963
"173",-149.8107796535,-17.482690746,"13.12",2019-01-06 11:41:13,31.07,32.625
"174",-149.8107862752,-17.4826864712,"15.04",2019-01-06 11:41:28,31.07,32.5868
"175",-149.8107928969,-17.4826909974,"15.52",2019-01-06 11:41:43,31.07,32.625
"176",-149.8107976746,-17.4826994631,"16.00",2019-01-06 11:41:58,31.06,32.6365
"177",-149.8108032066,-17.4826991279,"15.52",2019-01-06 11:42:13,31.07,32.5963
"178",-149.8107943218,-17.4826946855,"15.52",2019-01-06 11:42:28,31.08,32.5802
"179",-149.810798429,-17.4826836213,"15.04",2019-01-06 11:42:43,31.09,32.4735
"180",-149.8108148575,-17.4826843757,"15.52",2019-01-06 11:42:58,31.09,32.5735
"181",-149.8108151928,-17.4826868903,"16.00",2019-01-06 11:43:13,31.08,32.5897
"182",-149.8108088225,-17.4826897401,"16.48",2019-01-06 11:43:28,31.08,32.4991
"183",-149.8108073976,-17.4826972838,"15.52",2019-01-06 11:43:43,31.09,32.5115
"184",-149.8107939865,-17.4826904945,"15.52",2019-01-06 11:43:58,31.09,32.5496
"185",-149.8107948247,-17.4826869741,"15.52",2019-01-06 11:44:13,31.09,32.5068
"186",-149.8107953276,-17.4826908298,"15.52",2019-01-06 11:44:28,31.09,32.5878
"187",-149.8107939027,-17.4826787598,"16.00",2019-01-06 11:44:43,31.09,32.5306
"188",-149.8107923102,-17.4826842081,"16.00",2019-01-06 11:44:58,31.09,32.5783
"189",-149.810798429,-17.4826855492,"16.00",2019-01-06 11:45:13,31.09,32.6212
"190",-149.8107983451,-17.4826801848,"16.00",2019-01-06 11:45:28,31.08,32.5229
"191",-149.8107990995,-17.4826808553,"15.52",2019-01-06 11:45:43,31.08,32.5039
"192",-149.810808152,-17.4826804362,"16.00",2019-01-06 11:45:58,31.08,32.5087
"193",-149.8108024523,-17.4826785084,"16.00",2019-01-06 11:46:13,31.09,32.5401
"194",-149.8107996862,-17.4826888181,"16.48",2019-01-06 11:46:28,31.08,32.6088
"195",-149.8107894603,-17.482694434,"16.00",2019-01-06 11:46:43,31.1,32.1789
"196",-149.8107911367,-17.4826878961,"16.00",2019-01-06 11:46:58,31.12,32.2174
"197",-149.8107824195,-17.4826811906,"16.00",2019-01-06 11:47:13,31.15,32.2165
"198",-149.8107830901,-17.4826764129,"16.48",2019-01-06 11:47:28,31.15,32.1087
"199",-149.8107945733,-17.4826804362,"16.00",2019-01-06 11:47:43,31.18,32.1546
"200",-149.8108011112,-17.4826728925,"16.48",2019-01-06 11:47:58,31.2,32.118
"201",-149.8107985966,-17.4826733116,"16.00",2019-01-06 11:48:13,31.23,32.1312
"202",-149.8107930645,-17.4826712161,"16.00",2019-01-06 11:48:28,31.23,32.0657
"203",-149.8107892089,-17.4826710485,"16.96",2019-01-06 11:48:43,31.24,32.0592
"204",-149.8107899632,-17.4826807715,"16.48",2019-01-06 11:48:58,31.24,32.0872
"205",-149.8108014464,-17.4826718029,"16.48",2019-01-06 11:49:13,31.24,32.0265
"206",-149.8107987642,-17.4826660194,"16.96",2019-01-06 11:49:28,31.19,31.9753
"207",-149.8108001892,-17.4826759938,"16.96",2019-01-06 11:49:43,31.2,32.0013
"208",-149.810802117,-17.482677754,"16.48",2019-01-06 11:49:58,31.21,32.0041
"209",-149.8107989319,-17.4826833699,"16.48",2019-01-06 11:50:13,31.2,32.104
"210",-149.8107986804,-17.4826830346,"16.96",2019-01-06 11:50:28,31.2,31.992
"211",-149.810798848,-17.4826912489,"16.96",2019-01-06 11:50:43,31.23,32.0424
"212",-149.8107928969,-17.4826845434,"16.96",2019-01-06 11:50:58,31.21,32.0274
"213",-149.8107938189,-17.482679598,"16.96",2019-01-06 11:51:13,31.21,32.0181
"214",-149.8107879516,-17.4826823641,"16.96",2019-01-06 11:51:28,31.2,32.076
"215",-149.8108023684,-17.4826850463,"16.96",2019-01-06 11:51:43,31.21,32.0181
"216",-149.8108015303,-17.4826799333,"16.96",2019-01-06 11:51:58,31.21,32.0274
"217",-149.8108061403,-17.4826989602,"16.48",2019-01-06 11:52:13,31.23,31.9957
"218",-149.8107972555,-17.4826816935,"16.48",2019-01-06 11:52:28,31.24,31.9706
"219",-149.8107939865,-17.4826816097,"16.96",2019-01-06 11:52:43,31.24,31.9102
"220",-149.8107903823,-17.4826815259,"16.48",2019-01-06 11:52:58,31.25,31.899
"221",-149.81079055,-17.4826795142,"16.48",2019-01-06 11:53:13,31.26,31.8231
"222",-149.8107897118,-17.4826784246,"16.48",2019-01-06 11:53:28,31.23,31.9446
"223",-149.8107893765,-17.4826774187,"16.96",2019-01-06 11:53:43,31.25,31.7097
"224",-149.8107876163,-17.4826832861,"16.48",2019-01-06 11:53:58,31.26,31.7539
"225",-149.810793316,-17.4826936796,"16.48",2019-01-06 11:54:13,31.25,31.6638
"226",-149.8107864428,-17.4826877285,"16.96",2019-01-06 11:54:28,31.26,31.8925
"227",-149.8107847665,-17.4826823641,"16.96",2019-01-06 11:54:43,31.3,31.7695
"228",-149.8107893765,-17.4826815259,"16.48",2019-01-06 11:54:58,31.3,31.8157
"229",-149.8107913882,-17.4826867227,"16.48",2019-01-06 11:55:13,31.29,32.1905
"230",-149.8107853532,-17.4826837052,"16.48",2019-01-06 11:55:28,31.3,32.2263
"231",-149.8107856046,-17.4826802686,"16.48",2019-01-06 11:55:43,31.3,32.2263
"232",-149.8107866105,-17.4826879799,"16.48",2019-01-06 11:55:58,31.28,32.2724
"233",-149.8107847665,-17.4826878961,"16.48",2019-01-06 11:56:13,31.29,32.3036
"234",-149.8107835092,-17.4826835375,"16.48",2019-01-06 11:56:28,31.29,32.2375
"235",-149.8107838444,-17.4826859683,"16.48",2019-01-06 11:56:43,31.29,32.2705
"236",-149.8108047154,-17.4826854654,"16.48",2019-01-06 11:56:58,31.29,32.2658
"237",-149.8108135164,-17.4827003852,"16.48",2019-01-06 11:57:13,31.3,32.2027
"238",-149.810818797,-17.4827057496,"16.48",2019-01-06 11:57:28,31.3,32.2074
"239",-149.8108144384,-17.4827224296,"16.00",2019-01-06 11:57:43,31.33,32.216
"240",-149.8108133487,-17.4827256147,"16.00",2019-01-06 11:57:58,31.32,32.1943
"242",-149.8108151089,-17.4827319011,"16.00",2019-01-06 11:58:28,31.2,32.7494
"244",-149.8107977584,-17.4826863036,"16.00",2019-01-06 11:58:58,31.25,32.9286
"245",-149.8107883707,-17.4826922547,"16.00",2019-01-06 11:59:13,31.41,32.9039
"246",-149.8107870296,-17.4826912489,"16.48",2019-01-06 11:59:28,31.46,32.8268
"247",-149.8107859399,-17.4826917518,"16.00",2019-01-06 11:59:43,31.43,32.8179
"248",-149.8107841797,-17.4826894049,"16.00",2019-01-06 11:59:58,31.42,32.8148
"249",-149.8107815813,-17.4826946855,"16.00",2019-01-06 12:00:13,31.41,32.836
"250",-149.8107870296,-17.4826923385,"15.52",2019-01-06 12:00:28,31.39,32.7962
"251",-149.8107818328,-17.4826940149,"16.00",2019-01-06 12:00:43,31.37,32.8386
"252",-149.8107799049,-17.4826902431,"16.00",2019-01-06 12:00:58,31.37,32.8967
"253",-149.8107812461,-17.4826951046,"16.00",2019-01-06 12:01:13,31.35,32.8568
"254",-149.8107819166,-17.4826942664,"16.00",2019-01-06 12:01:28,31.36,32.8743
"255",-149.8107796535,-17.4826919194,"16.48",2019-01-06 12:01:43,31.35,32.852
"256",-149.810783593,-17.4826917518,"15.52",2019-01-06 12:01:58,31.34,32.8828
"257",-149.8107806593,-17.4826961104,"15.52",2019-01-06 12:02:13,31.36,32.8453
"258",-149.8107811622,-17.4826885667,"16.00",2019-01-06 12:02:28,31.35,32.9198
"259",-149.8107831739,-17.4826899078,"16.00",2019-01-06 12:02:43,31.34,32.878
"260",-149.8107856046,-17.4826909974,"15.52",2019-01-06 12:02:58,31.35,32.8761
"261",-149.8107858561,-17.4826926738,"15.52",2019-01-06 12:03:13,31.36,32.8694
"262",-149.8107887059,-17.4826933444,"16.00",2019-01-06 12:03:28,31.37,32.8192
"263",-149.8107870296,-17.4826940987,"16.00",2019-01-06 12:03:43,31.35,32.8713
"264",-149.8107850179,-17.4826956913,"16.00",2019-01-06 12:03:58,31.35,32.8568
"265",-149.8107870296,-17.4826949369,"16.00",2019-01-06 12:04:13,31.36,32.8888
"266",-149.8107846826,-17.4826978706,"16.00",2019-01-06 12:04:28,31.35,32.9198
"267",-149.8107883707,-17.4826977029,"16.00",2019-01-06 12:04:43,31.37,32.8627
"268",-149.8107885383,-17.4826982897,"16.00",2019-01-06 12:04:58,31.37,32.8919
"269",-149.8107836768,-17.4826982059,"16.00",2019-01-06 12:05:13,31.36,32.8694
"270",-149.8107866943,-17.4826946016,"16.96",2019-01-06 12:05:28,31.39,32.8543
"271",-149.8107830901,-17.4826946016,"16.00",2019-01-06 12:05:43,31.41,32.8796
"272",-149.810789125,-17.4826943502,"16.00",2019-01-06 12:05:58,31.39,32.8785
"273",-149.8107873648,-17.4827008881,"15.52",2019-01-06 12:06:13,31.45,32.8626
"274",-149.8107953276,-17.4826977868,"16.00",2019-01-06 12:06:28,31.41,32.8119
"275",-149.8107918072,-17.4826975353,"16.00",2019-01-06 12:06:43,31.43,32.8276
"276",-149.8107924778,-17.4826956913,"16.00",2019-01-06 12:06:58,31.43,32.8372
"277",-149.8107846826,-17.4827021454,"16.00",2019-01-06 12:07:13,31.43,32.8421
"278",-149.810790047,-17.4827011395,"16.00",2019-01-06 12:07:28,31.41,32.836
"279",-149.8107848503,-17.482696278,"16.48",2019-01-06 12:07:43,31.43,32.8421
"280",-149.8107843474,-17.4826928414,"16.48",2019-01-06 12:07:58,31.44,32.816
"281",-149.8107915558,-17.4826978706,"16.48",2019-01-06 12:08:13,31.42,32.8778
"282",-149.8107910529,-17.4826988764,"16.00",2019-01-06 12:08:28,31.42,32.8729
"283",-149.8107886221,-17.4827047437,"16.00",2019-01-06 12:08:43,31.44,32.8451
"284",-149.8107876163,-17.4826977868,"16.00",2019-01-06 12:08:58,31.44,32.8306
"285",-149.8107967526,-17.4827007204,"16.00",2019-01-06 12:09:13,31.44,32.816
"286",-149.81079055,-17.4826976191,"16.48",2019-01-06 12:09:28,31.42,32.8293
"287",-149.8107911367,-17.4826967809,"16.48",2019-01-06 12:09:43,31.45,32.8529
"288",-149.8107928131,-17.4827008881,"16.48",2019-01-06 12:09:58,31.43,32.8614
"289",-149.8107944895,-17.4826922547,"16.00",2019-01-06 12:10:13,31.44,32.8112
"290",-149.8107885383,-17.4827027321,"16.00",2019-01-06 12:10:28,31.46,32.7641
"291",-149.8107878678,-17.4826996308,"16.48",2019-01-06 12:10:43,31.43,32.8131
"292",-149.8107825033,-17.4827010557,"16.48",2019-01-06 12:10:58,31.44,32.8548
"293",-149.8107919749,-17.4826996308,"16.48",2019-01-06 12:11:13,31.44,32.8112
"294",-149.8107894603,-17.4826969486,"16.48",2019-01-06 12:11:28,31.45,32.8142
"295",-149.8107909691,-17.4827000499,"16.48",2019-01-06 12:11:43,31.46,32.7641
"296",-149.8107945733,-17.4826921709,"16.48",2019-01-06 12:11:58,31.46,32.7931
"297",-149.8107866943,-17.482693512,"16.48",2019-01-06 12:12:13,31.5,32.7712
"298",-149.8107851017,-17.4826974515,"16.96",2019-01-06 12:12:28,31.49,32.7876
"299",-149.8107890412,-17.4826913327,"16.48",2019-01-06 12:12:43,31.49,32.7682
"300",-149.8107887898,-17.4826948531,"16.96",2019-01-06 12:12:58,31.46,32.8414
"301",-149.8107879516,-17.4826948531,"16.48",2019-01-06 12:13:13,31.5,32.7906
"302",-149.810796082,-17.4827033188,"16.48",2019-01-06 12:13:28,31.5,32.752
"303",-149.8107928131,-17.4826957751,"16.96",2019-01-06 12:13:43,31.5,32.7664
"304",-149.8107927293,-17.4826927576,"16.48",2019-01-06 12:13:58,31.5,32.7664
"305",-149.8107886221,-17.4826994631,"16.48",2019-01-06 12:14:13,31.5,32.8002
"306",-149.8107888736,-17.4826980382,"16.48",2019-01-06 12:14:28,31.5,32.7471
"307",-149.810785437,-17.48269259,"16.96",2019-01-06 12:14:43,31.5,32.752
"308",-149.8107944056,-17.4826976191,"16.48",2019-01-06 12:14:58,31.5,32.7471
"309",-149.8107837606,-17.4826904107,"16.96",2019-01-06 12:15:13,31.49,32.7537
"310",-149.8107903823,-17.4826956913,"16.96",2019-01-06 12:15:28,31.5,32.6893
"311",-149.8107933998,-17.4826966971,"16.48",2019-01-06 12:15:43,31.51,32.7116
"312",-149.810798429,-17.4826926738,"16.48",2019-01-06 12:15:58,31.52,32.7049
"313",-149.8107928131,-17.4826956913,"16.96",2019-01-06 12:16:13,31.49,32.7537
