"","lon","lat","elevation","time","temperature","Salinity"
"7",-149.8140547983,-17.4832053948,"10.71",2019-01-06 10:59:43,31.07,37.365
"8",-149.8140486795,-17.483214112,"10.71",2019-01-06 10:59:58,30.95,36.3182
"9",-149.814046165,-17.4832166266,"10.23",2019-01-06 11:00:13,30.9,36.1563
"10",-149.8140357714,-17.4831880443,"10.71",2019-01-06 11:00:28,30.82,36.0726
"11",-149.8140391242,-17.4831929058,"11.19",2019-01-06 11:00:43,30.67,36.0906
"12",-149.8140133079,-17.4832004495,"11.19",2019-01-06 11:00:58,30.71,36.0389
"13",-149.8140217736,-17.4832137767,"10.71",2019-01-06 11:01:13,30.64,36.0252
"14",-149.8140096199,-17.4832048081,"11.19",2019-01-06 11:01:28,30.65,36.0122
"15",-149.814052619,-17.4832038861,"11.19",2019-01-06 11:01:43,30.64,35.9705
"16",-149.814049853,-17.483215034,"11.67",2019-01-06 11:01:58,30.64,35.9868
"17",-149.8140407167,-17.4832209852,"11.19",2019-01-06 11:02:13,30.64,35.9868
"18",-149.8140499368,-17.4831985217,"11.19",2019-01-06 11:02:28,30.62,35.9798
"19",-149.8140625935,-17.4831901398,"11.67",2019-01-06 11:02:43,30.62,36.0126
"20",-149.8140469193,-17.4831839371,"11.19",2019-01-06 11:02:58,30.62,35.9908
"21",-149.8140182532,-17.4831975158,"11.67",2019-01-06 11:03:13,30.63,35.9561
"22",-149.8140060157,-17.4832002819,"11.19",2019-01-06 11:03:28,30.66,35.9775
"23",-149.8139765114,-17.4831991084,"11.67",2019-01-06 11:03:43,30.67,35.9319
"24",-149.8139554728,-17.4832053948,"11.67",2019-01-06 11:03:58,30.81,35.943
"25",-149.8139277287,-17.4831989408,"11.67",2019-01-06 11:04:13,30.78,35.9052
"26",-149.8139028344,-17.483198354,"12.15",2019-01-06 11:04:28,30.82,35.9849
"27",-149.8139251303,-17.4832240026,"12.15",2019-01-06 11:04:43,30.8,35.8904
"28",-149.8139366973,-17.483231714,"12.15",2019-01-06 11:04:58,30.69,35.9335
