"","time","temperature","Salinity"
"2199",2019-01-09 17:30:12,29.39,32.3626
"2200",2019-01-09 17:30:27,29.37,32.3398
"2201",2019-01-09 17:30:42,29.36,32.367
"2202",2019-01-09 17:30:57,29.36,32.3632
"2203",2019-01-09 17:31:12,29.36,32.339
"2204",2019-01-09 17:31:27,29.37,32.3689
"2205",2019-01-09 17:31:42,29.36,32.3637
"2206",2019-01-09 17:31:57,29.35,32.3422
"2207",2019-01-09 17:32:12,29.35,32.3546
"2208",2019-01-09 17:32:27,29.36,32.271
"2209",2019-01-09 17:32:42,29.36,32.405
"2210",2019-01-09 17:32:57,29.37,32.3455
"2211",2019-01-09 17:33:12,29.4,32.3335
"2212",2019-01-09 17:33:27,29.4,32.3175
"2213",2019-01-09 17:33:42,29.41,32.319
"2214",2019-01-09 17:33:57,29.41,32.3679
"2215",2019-01-09 17:34:12,29.42,32.3207
"2216",2019-01-09 17:34:27,29.42,32.3614
"2217",2019-01-09 17:34:42,29.41,32.3278
"2218",2019-01-09 17:34:57,29.39,32.3172
"2219",2019-01-09 17:35:12,29.37,32.3512
"2220",2019-01-09 17:35:27,29.37,32.3392
"2221",2019-01-09 17:35:42,29.39,32.3339
"2222",2019-01-09 17:35:57,29.39,32.3544
"2223",2019-01-09 17:36:12,29.4,32.3153
"2224",2019-01-09 17:36:27,29.4,32.3601
"2225",2019-01-09 17:36:42,29.4,32.2994
"2226",2019-01-09 17:36:57,29.41,32.3374
"2227",2019-01-09 17:37:12,29.41,32.3092
"2228",2019-01-09 17:37:27,29.41,32.3906
"2229",2019-01-09 17:37:42,29.41,32.3136
"2230",2019-01-09 17:37:57,29.41,32.2976
"2231",2019-01-09 17:38:12,29.41,32.3789
"2232",2019-01-09 17:38:27,29.41,32.3263
"2233",2019-01-09 17:38:42,29.41,32.3467
"2234",2019-01-09 17:38:57,29.4,32.3537
"2235",2019-01-09 17:39:12,29.37,32.3579
"2236",2019-01-09 17:39:27,29.4,32.3094
"2237",2019-01-09 17:39:42,29.4,32.2974
"2238",2019-01-09 17:39:57,29.41,32.3273
"2239",2019-01-09 17:40:12,29.41,32.3315
"2240",2019-01-09 17:40:27,29.4,32.3344
"2241",2019-01-09 17:40:42,29.4,32.3183
"2242",2019-01-09 17:40:57,29.39,32.3578
"2243",2019-01-09 17:41:12,29.4,32.3268
"2244",2019-01-09 17:41:27,29.4,32.3229
"2245",2019-01-09 17:41:42,29.4,32.3109
"2246",2019-01-09 17:41:57,29.4,32.3192
"2247",2019-01-09 17:42:12,29.41,32.3451
"2248",2019-01-09 17:42:27,29.4,32.3114
"2249",2019-01-09 17:42:42,29.4,32.3359
"2250",2019-01-09 17:42:57,29.39,32.3185
"2251",2019-01-09 17:43:12,29.39,32.3186
"2252",2019-01-09 17:43:27,29.39,32.2743
"2253",2019-01-09 17:43:42,29.4,32.3122
"2254",2019-01-09 17:43:57,29.4,32.2881
"2255",2019-01-09 17:44:12,29.39,32.3274
"2256",2019-01-09 17:44:27,29.37,32.3655
"2257",2019-01-09 17:44:42,29.39,32.3238
"2258",2019-01-09 17:44:57,29.39,32.3279
"2259",2019-01-09 17:45:12,29.36,32.3403
"2260",2019-01-09 17:45:27,29.39,32.312
"2261",2019-01-09 17:45:42,29.39,32.3082
"2262",2019-01-09 17:45:57,29.4,32.3137
"2263",2019-01-09 17:46:12,29.39,32.3166
"2264",2019-01-09 17:46:27,29.39,32.3533
"2265",2019-01-09 17:46:42,29.37,32.3427
"2266",2019-01-09 17:46:57,29.37,32.3754
"2267",2019-01-09 17:47:12,29.37,32.2781
"2268",2019-01-09 17:47:27,29.37,32.3229
"2269",2019-01-09 17:47:42,29.37,32.2947
"2270",2019-01-09 17:47:57,29.36,32.3421
"2271",2019-01-09 17:48:12,29.37,32.3112
"2272",2019-01-09 17:48:27,29.37,32.3074
"2273",2019-01-09 17:48:42,29.36,32.3589
"2274",2019-01-09 17:48:57,29.37,32.3118
"2275",2019-01-09 17:49:12,29.36,32.343
"2276",2019-01-09 17:49:27,29.37,32.3283
"2277",2019-01-09 17:49:42,29.36,32.3393
"2278",2019-01-09 17:49:57,29.36,32.307
"2279",2019-01-09 17:50:12,29.36,32.3518
"2280",2019-01-09 17:50:27,29.36,32.3438
"2281",2019-01-09 17:50:42,29.36,32.2671
"2282",2019-01-09 17:50:57,29.37,32.2525
"2283",2019-01-09 17:51:12,29.36,32.3362
"2284",2019-01-09 17:51:27,29.36,32.3364
"2285",2019-01-09 17:51:42,29.35,32.3271
"2286",2019-01-09 17:51:57,29.36,32.353
"2287",2019-01-09 17:52:12,29.36,32.3329
"2288",2019-01-09 17:52:27,29.36,32.3169
"2289",2019-01-09 17:52:42,29.35,32.2954
"2290",2019-01-09 17:52:57,29.35,32.3645
"2291",2019-01-09 17:53:12,29.35,32.3079
"2292",2019-01-09 17:53:27,29.35,32.3526
"2293",2019-01-09 17:53:42,29.36,32.3339
"2294",2019-01-09 17:53:57,29.35,32.2962
"2295",2019-01-09 17:54:12,29.35,32.341
"2296",2019-01-09 17:54:27,29.35,32.3411
"2297",2019-01-09 17:54:42,29.34,32.3319
"2298",2019-01-09 17:54:57,29.35,32.2969
"2299",2019-01-09 17:55:12,29.35,32.3661
"2300",2019-01-09 17:55:27,29.35,32.3256
"2301",2019-01-09 17:55:42,29.34,32.3244
"2302",2019-01-09 17:55:57,29.34,32.3206
"2303",2019-01-09 17:56:12,29.34,32.3045
"2304",2019-01-09 17:56:27,29.33,32.3317
"2305",2019-01-09 17:56:42,29.33,32.3562
"2306",2019-01-09 17:56:57,29.34,32.3374
"2307",2019-01-09 17:57:12,29.34,32.3255
"2308",2019-01-09 17:57:27,29.33,32.3284
"2309",2019-01-09 17:57:42,29.33,32.3569
"2310",2019-01-09 17:57:57,29.34,32.3341
"2311",2019-01-09 17:58:12,29.33,32.341
"2312",2019-01-09 17:58:27,29.33,32.3452
"2313",2019-01-09 17:58:42,29.33,32.3494
"2314",2019-01-09 17:58:57,29.33,32.3456
"2315",2019-01-09 17:59:12,29.34,32.3228
"2316",2019-01-09 17:59:27,29.33,32.3297
"2317",2019-01-09 17:59:42,29.33,32.3299
"2318",2019-01-09 17:59:57,29.33,32.3462
"2319",2019-01-09 18:00:12,29.33,32.3099
"2320",2019-01-09 18:00:27,29.34,32.3398
"2321",2019-01-09 18:00:42,29.34,32.34
"2322",2019-01-09 18:00:57,29.34,32.3645
"2323",2019-01-09 18:01:12,29.34,32.3525
"2324",2019-01-09 18:01:27,29.33,32.3108
"2325",2019-01-09 18:01:42,29.33,32.3434
"2326",2019-01-09 18:01:57,29.33,32.3273
"2327",2019-01-09 18:02:12,29.32,32.3262
"2328",2019-01-09 18:02:27,29.32,32.3344
"2329",2019-01-09 18:02:42,29.33,32.3156
"2330",2019-01-09 18:02:57,29.33,32.3645
"2331",2019-01-09 18:03:12,29.33,32.316
"2332",2019-01-09 18:03:27,29.33,32.3486
"2333",2019-01-09 18:03:42,29.33,32.3691
"2334",2019-01-09 18:03:57,29.33,32.3003
"2335",2019-01-09 18:04:12,29.33,32.3491
