"","time","radon_mean","lon","lat","elevation","temperature","Salinity"
"13",2019-01-09 13:21:00,14.1,-149.912385429488,-17.5175475329042,NA,30.275,32.093625
"14",2019-01-09 13:27:00,12.2,-149.912435444996,-17.5168654031625,NA,30.20375,32.0541666666667
"15",2019-01-09 13:33:00,9.7,-149.912694211812,-17.5159058358917,NA,30.29375,31.9340458333333
"16",2019-01-09 13:39:00,5.3,-149.9131339579,-17.5151209684542,NA,30.4933333333333,31.96585
"17",2019-01-09 13:45:00,4.5,-149.913543420837,-17.5147420994458,NA,30.5616666666667,31.4714666666667
"18",2019-01-09 13:51:00,3.7,-149.913554855154,-17.5147250527542,NA,30.5891666666667,31.5587916666667
"19",2019-01-09 13:57:00,3.7,-149.913719458267,-17.51491824165,NA,30.5266666666667,31.6968708333333
"20",2019-01-09 14:03:00,1.8,-149.913819622013,-17.5154487951542,NA,29.9720833333333,32.091125
"21",2019-01-09 14:09:00,3.7,-149.9136401026,-17.5154570967375,NA,29.8483333333333,32.2305916666667
"22",2019-01-09 14:15:00,2.6,-149.913537256654,-17.5154017307833,NA,29.8420833333333,32.2668708333333
"23",2019-01-09 14:21:00,3.5,-149.914258550842,-17.5163024605708,NA,29.5808333333333,32.4755416666667
"24",2019-01-09 14:27:00,4.3,-149.914982866025,-17.5176492193792,NA,29.6666666666667,32.5593208333333
"25",2019-01-09 14:33:00,4.3,-149.914789750471,-17.5187315954792,NA,29.5058333333333,32.5920375
"26",2019-01-09 14:39:00,4,-149.914022635212,-17.5187270063958,NA,29.4254166666667,32.5824375
"27",2019-01-09 14:45:00,4.8,-149.913122062575,-17.5184979394583,NA,29.3733333333333,32.611575
"28",2019-01-09 14:51:00,3.1,-149.912964255013,-17.5183118920261,NA,29.3817391304348,32.6315130434783
"29",2019-01-09 14:57:00,3.1,-149.912926345137,-17.5182951218458,NA,29.3933333333333,32.614375
"30",2019-01-09 15:03:00,3.7,-149.912756761771,-17.5177949701875,NA,29.6229166666667,32.4743666666667
"31",2019-01-09 15:09:00,2.8,-149.912876134042,-17.5175419065708,NA,29.5066666666667,32.5352375
"32",2019-01-09 15:15:00,2.3,-149.912891549754,-17.5175606750458,NA,29.49125,32.5439333333333
"33",2019-01-09 15:21:00,3.3,-149.912861573971,-17.5175400800083,NA,29.52375,32.53775
"34",2019-01-09 15:27:00,2.9,-149.912742313463,-17.5174238963625,NA,29.6316666666667,32.4641625
"35",2019-01-09 15:33:00,5.5,-149.912979503862,-17.5172450789208,NA,29.475,32.5289541666667
"36",2019-01-09 15:39:00,4.3,-149.912995104687,-17.5179376755833,NA,29.3283333333333,32.6310708333333
"1",2019-01-06 10:47:00,0.3,NA,NA,NA,NA,NA
"2",2019-01-06 10:53:00,0,NA,NA,NA,NA,NA
"3",2019-01-06 10:59:00,0,-149.8140517389,-17.4832097534,NA,31.01,36.8416
"4",2019-01-06 11:05:00,0.4,-149.813931731025,-17.48324187705,NA,30.7525,35.915925
"5",2019-01-06 11:11:00,0.7,-149.813357591625,-17.483213734825,NA,31.06,35.57375
"6",2019-01-06 11:17:00,0.6,-149.8126367899,-17.48316836775,NA,30.81,34.90825
"7",2019-01-06 11:23:00,1.2,-149.8118682951,-17.483022417875,NA,30.9775,34.42195
"8",2019-01-06 11:29:00,0.3,-149.811105751425,-17.482803545425,NA,30.96,32.4399
"9",2019-01-06 11:35:00,0,-149.8110008519,-17.482699379325,NA,30.7775,32.24365
"10",2019-01-06 13:23:00,0,-149.810743527475,-17.482200027425,NA,30.8525,33.155575
"11",2019-01-06 13:29:00,0,-149.811300379225,-17.48239960055,NA,30.3975,33.2768
"12",2019-01-06 13:35:00,0.7,-149.81167052405,-17.48264401685,NA,30.38,33.26435
"131",2019-01-06 13:41:00,0,-149.812016298525,-17.48259144135,NA,30.32,33.26395
"141",2019-01-06 13:47:00,0.7,-149.812546118625,-17.4823075882,NA,30.2575,33.292275
"151",2019-01-06 13:53:00,0,-149.81300437825,-17.48260428665,NA,30.8325,33.1643
"161",2019-01-06 13:59:00,0.4,-149.813329177,-17.4826095253,NA,30.915,33.120525
"171",2019-01-06 14:05:00,0.7,-149.81375026285,-17.482524742375,NA,30.34,33.302825
"181",2019-01-06 14:11:00,0.4,-149.8146551731,-17.4824635754,NA,30.3075,33.337425
"191",2019-01-06 14:17:00,0,-149.815401854,-17.482778148275,NA,30.4875,33.24445
"201",2019-01-06 14:23:00,0.3,-149.81525770625,-17.48273493955,NA,30.6925,33.243775
"211",2019-01-06 14:29:00,0.7,-149.81517690465,-17.48282919405,NA,30.955,33.178875
"221",2019-01-06 14:35:00,0,-149.8146565142,-17.482453454275,NA,30.29,33.393625
"231",2019-01-06 14:41:00,0,-149.8143805191,-17.483115980875,NA,31.07,33.182925
"241",2019-01-06 16:29:00,0,-149.8061132804,-17.480842033425,NA,30.0325,33.386375
"251",2019-01-06 16:35:00,0,-149.8060384928,-17.4808523641,NA,29.9775,33.417075
"261",2019-01-06 16:41:00,0,-149.80570449495,-17.480570292075,NA,29.975,33.4077
"271",2019-01-06 16:47:00,0,-149.805118935175,-17.478786183075,NA,29.9625,33.41395
"281",2019-01-06 16:53:00,0,-149.8031962104,-17.4784210464,NA,30.0325,33.41085
"291",2019-01-06 16:59:00,0,-149.805044734375,-17.4807245191,NA,30.09,33.3441
"301",2019-01-06 17:05:00,0,-149.807744482525,-17.480520922675,NA,29.9125,33.39955
"311",2019-01-06 17:11:00,0,-149.810541125475,-17.4808840477,NA,29.8825,33.42285
"321",2019-01-06 17:17:00,0.4,-149.812204241775,-17.482166730325,NA,29.875,33.410925
"331",2019-01-06 17:23:00,0,-149.815569890175,-17.482581948875,NA,29.8675,33.3867
