"","lon","lat","elevation","time","temperature","Salinity"
"13",-149.9122364726,-17.5185683928,"5.91",2019-01-09 12:33:42,30.43,27.6327
"14",-149.9123129994,-17.5185292494,"4.46",2019-01-09 12:33:57,30.64,29.3802
"15",-149.9123514723,-17.5185412355,"4.94",2019-01-09 12:34:12,30.72,31.677
"16",-149.9123777915,-17.5186284911,"3.98",2019-01-09 12:34:27,30.74,31.6282
"17",-149.9124070443,-17.5186549779,"4.94",2019-01-09 12:34:42,30.67,31.6819
"18",-149.9123948906,-17.5186258927,"4.46",2019-01-09 12:34:57,30.66,31.6605
"19",-149.9123794679,-17.5186168402,"4.94",2019-01-09 12:35:12,30.7,31.6307
"20",-149.9123837426,-17.5186304189,"4.94",2019-01-09 12:35:27,30.72,31.594
"21",-149.9123736843,-17.5186362863,"4.94",2019-01-09 12:35:42,30.74,31.5612
"22",-149.9123703316,-17.518622037,"4.46",2019-01-09 12:35:57,30.71,31.545
"23",-149.912357172,-17.5186123978,"5.42",2019-01-09 12:36:12,30.74,31.4503
"24",-149.9123223871,-17.5186063629,"4.94",2019-01-09 12:36:27,30.7,31.4407
"25",-149.912252482,-17.5186140742,"5.42",2019-01-09 12:36:42,30.67,31.3419
"26",-149.9122973252,-17.5186652038,"5.42",2019-01-09 12:36:57,30.68,30.5199
"27",-149.912294643,-17.5186857395,"6.39",2019-01-09 12:37:12,30.7,30.4587
"28",-149.9122922961,-17.5186795369,"6.39",2019-01-09 12:37:27,30.57,28.7358
"29",-149.9122950621,-17.5186576601,"5.42",2019-01-09 12:37:42,30.55,28.616
"30",-149.9122944754,-17.5186576601,"5.91",2019-01-09 12:37:57,30.54,29.5531
"32",-149.9122877698,-17.5186566543,"5.42",2019-01-09 12:38:27,30.63,27.6296
"41",-149.9122753646,-17.5186415669,"6.87",2019-01-09 12:40:42,30.42,27.6835
"48",-149.9122748617,-17.5186594203,"7.83",2019-01-09 12:42:27,30.05,22.1405
"55",-149.9122776277,-17.51862715,"7.83",2019-01-09 12:44:12,30.45,31.4733
"56",-149.9122923799,-17.5186171755,"7.83",2019-01-09 12:44:27,30.45,31.234
"57",-149.9122969899,-17.5186098833,"8.79",2019-01-09 12:44:42,30.47,31.5516
"58",-149.9122721795,-17.5186323468,"8.31",2019-01-09 12:44:57,30.45,31.3281
"59",-149.9122717604,-17.518644752,"8.31",2019-01-09 12:45:12,30.32,30.8206
"60",-149.9122782145,-17.518635029,"7.83",2019-01-09 12:45:27,30.4,31.2123
"61",-149.9122661445,-17.5186401419,"7.83",2019-01-09 12:45:42,30.34,30.8311
"62",-149.9122687429,-17.5186487753,"8.31",2019-01-09 12:45:57,30.45,31.0642
"64",-149.9122929666,-17.5186263956,"8.31",2019-01-09 12:46:27,30.42,31.0876
"65",-149.912298331,-17.5186176784,"8.79",2019-01-09 12:46:42,30.39,30.7999
"66",-149.9122782145,-17.5186483562,"8.79",2019-01-09 12:46:57,30.17,30.0267
"67",-149.9123086408,-17.5186991505,"9.27",2019-01-09 12:47:12,30.32,30.6249
"68",-149.912390532,-17.5187283196,"8.79",2019-01-09 12:47:27,30.5,31.5538
"69",-149.9124578387,-17.5187967159,"8.79",2019-01-09 12:47:42,30.5,31.8176
"70",-149.9125103094,-17.5188580714,"9.27",2019-01-09 12:47:57,30.31,31.9105
"71",-149.9125659652,-17.5188843906,"9.27",2019-01-09 12:48:12,30.17,32.1127
"72",-149.9126713257,-17.5189480931,"9.75",2019-01-09 12:48:27,30.08,32.1768
"73",-149.9126976449,-17.5189938582,"10.23",2019-01-09 12:48:42,29.99,32.2249
"74",-149.9126987346,-17.5190035813,"10.23",2019-01-09 12:48:57,29.92,32.2392
"75",-149.9126997404,-17.5190190878,"9.75",2019-01-09 12:49:12,29.88,32.299
"76",-149.9127106369,-17.5190276373,"10.23",2019-01-09 12:49:27,29.86,32.3044
"77",-149.9127082061,-17.5190363545,"10.23",2019-01-09 12:49:42,29.9,32.3104
"78",-149.9127057754,-17.5190067664,"10.23",2019-01-09 12:49:57,29.91,32.2793
"79",-149.9127034284,-17.5190098677,"10.23",2019-01-09 12:50:12,29.89,32.2929
"80",-149.9127134029,-17.5190187525,"10.23",2019-01-09 12:50:27,29.89,32.2767
"81",-149.9127134867,-17.5190108735,"10.23",2019-01-09 12:50:42,29.91,32.2635
"82",-149.9127110559,-17.5190161541,"9.75",2019-01-09 12:50:57,29.93,32.2543
"83",-149.9126913585,-17.5190115441,"9.75",2019-01-09 12:51:12,29.9,32.3401
"84",-149.9126869999,-17.5190250389,"10.23",2019-01-09 12:51:27,29.92,32.3146
"85",-149.912676774,-17.5190162379,"10.23",2019-01-09 12:51:42,29.91,32.2519
