"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,81,"PYF","French Polynesia",1,"Îles Australes ","Subdivisions administratives","Administrative subdivisions",NA,"Tuha'a Pae|Austral Islands|Archipel des Australes"
2,81,"PYF","French Polynesia",2,"Îles du Vent","Subdivisions administratives","Administrative subdivisions",NA,"Windward Islands"
3,81,"PYF","French Polynesia",3,"Îles Marquises","Subdivisions administratives","Administrative subdivisions",NA,"Marquises|Marquesas Islands"
4,81,"PYF","French Polynesia",4,"Îles Sous-le-Vent","Subdivisions administratives","Administrative subdivisions",NA,"Leeward Islands"
5,81,"PYF","French Polynesia",5,"Îles Tuamotu-Gambier","Subdivisions administratives","Administrative subdivisions",NA,"Tuamotu-Gambier|Archipels des Tuamotu et des Gambier"
